method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,1.0396087169647217,1.5039355754852295,1.2260013818740845,1.2164779901504517,4.400355339050293,1.1984913349151611,1.0026178359985352,1.1602686643600464
coord_mlp,1.0168192386627197,1.1063493490219116,1.0534995794296265,1.1977108716964722,4.908285140991211,1.1468127965927124,0.9796286821365356,1.0029146671295166
gplfr,1.0546199083328247,1.6639111042022705,1.2970796823501587,1.3137379884719849,4.982038974761963,1.3428267240524292,1.0050841569900513,1.1863943338394165
knn,1.052461862564087,1.6534026861190796,1.274294376373291,1.2687382698059082,5.290119171142578,1.2916228771209717,1.004062294960022,1.0497024059295654
pca_mlp,1.0158699750900269,1.5684210062026978,1.2368305921554565,1.2429499626159668,4.810948371887207,1.2218613624572754,1.004349946975708,1.168748140335083
pca_ridge,1.048664927482605,1.1954675912857056,1.2595939636230469,1.2795923948287964,4.688471794128418,1.2574419975280762,1.0049234628677368,1.1301984786987305
ppca_icm,1.0581673383712769,1.645234227180481,1.2910670042037964,1.2654695510864258,4.843385696411133,1.3416560888290405,1.0047385692596436,1.1355088949203491
train_mean,1.028443455696106,1.121293544769287,1.160605549812317,1.181762933731079,4.005023956298828,1.0573620796203613,1.0018950700759888,1.0000065565109253
