method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,0.9608883857727051,0.5963830749193827,0.7994475265343984,0.6669497688611349,0.650635752413008,0.6655160652266608,0.9928370118141174,0.8578422665596008
coord_mlp,0.940568745136261,0.39370138343009686,0.6812232964568667,0.6500964462757111,0.6392345163557265,0.6645137402746413,0.9700843095779419,0.7534255981445312
gplfr,0.9744407534599304,0.6491516596741147,0.8458854820993211,0.7151651283105215,0.7400864296489291,0.7273760835329691,0.9952850341796875,0.8808661699295044
knn,0.9718391299247742,0.5904476659165488,0.8199094500806596,0.6784939037428962,0.7234124739964803,0.7185180518362257,0.9942751526832581,0.7895357608795166
pca_mlp,0.9416088461875916,0.6359450585312314,0.8071577416525947,0.6886105073822869,0.666254868110021,0.6840983198748695,0.9945567846298218,0.8610593676567078
pca_ridge,0.9693368077278137,0.45621107497976887,0.8208298981189728,0.6815717154079013,0.6451089978218079,0.6878901190227933,0.9951134920120239,0.8554545044898987
ppca_icm,0.9767318367958069,0.6464588675234053,0.8336389230357276,0.6848002970218658,0.7178051405482822,0.7090171244409349,0.9949349761009216,0.8394532203674316
train_mean,0.9520431756973267,0.3824382879667812,0.7573968867460886,0.651462627781762,0.562514003780153,0.5677502585781945,0.9921225905418396,0.7458138465881348
