method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,0.8315759897232056,0.8910722136497498,0.7440940141677856,0.35745659470558167,0.8900807499885559,0.8562441468238831,0.8548806309700012,0.7193819284439087
coord_mlp,1.4651460647583008,0.9120292663574219,1.0093529224395752,0.3685097098350525,0.9542281627655029,0.9067560434341431,2.432762384414673,1.044213891029358
gplfr,0.886920690536499,0.7904446721076965,0.7180037498474121,0.2860275208950043,0.8236733078956604,0.756991446018219,0.6241759657859802,0.6207244992256165
knn,1.8348218202590942,1.749018907546997,1.4609626531600952,0.4353974759578705,0.9763988256454468,0.9120669960975647,0.8021823763847351,1.0023070573806763
pca_mlp,0.8259305357933044,0.8197661638259888,0.7356364130973816,0.35475993156433105,0.8985555768013,0.8665846586227417,0.7242573499679565,0.7238374948501587
pca_ridge,1.2273491621017456,1.1870148181915283,1.0044342279434204,0.3738693296909332,1.1751781702041626,0.9639322757720947,0.908230185508728,0.9245034456253052
ppca_icm,0.9958088994026184,0.9825856685638428,0.7859331369400024,0.35908836126327515,0.8652487993240356,0.8100523948669434,0.9910759925842285,0.7884640693664551
train_mean,1.5984885692596436,1.634853482246399,1.4022817611694336,0.5845968127250671,1.347445011138916,1.1372803449630737,5.095102310180664,1.4686790704727173
