method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
coord_deeponet,12.622779846191406,10.310730934143066,9.45999813079834,9.288227081298828,9.68601131439209,10.323448181152344,11.39842414855957,12.37341022491455,12.537026405334473,12.516902923583984,0.3814244568347931,0.3851208984851837,0.42646220326423645,0.490086168050766,0.5523382425308228,0.6393759250640869,0.708524763584137,0.7249046564102173,0.7476305365562439,39.502037048339844,22.610599517822266,0.11019708216190338,0.09489672631025314,0.077263742685318,0.058461569249629974,0.05512305721640587,0.059003591537475586,0.04879466071724892,0.03486716002225876,0.022447066381573677,4.104662895202637,4.973369598388672,6.797011852264404,8.695913314819336,10.752250671386719,12.180196762084961,13.635692596435547,14.548543930053711,16.27297592163086,2.879987955093384,3.562927484512329,4.857059478759766,5.936369895935059,6.471678256988525,6.516515254974365,6.61907958984375,5.983358383178711,5.596103191375732
coord_mlp,20.469118118286133,11.002185821533203,10.4733304977417,10.394064903259277,10.406730651855469,10.621916770935059,10.934328079223633,11.432867050170898,13.18856430053711,13.141160011291504,0.5134710669517517,0.4918038547039032,0.5188565254211426,0.5881606340408325,0.6650501489639282,0.7539337277412415,0.8244640231132507,0.8719412684440613,0.9613115787506104,99.49128723144531,31.517030715942383,0.1157020777463913,0.09842271357774734,0.07830799371004105,0.06535284221172333,0.0590648427605629,0.058088406920433044,0.05561379715800285,0.0398835651576519,0.022627156227827072,4.298753261566162,5.217780113220215,7.776818752288818,9.777695655822754,11.08976936340332,11.886371612548828,13.238025665283203,14.042016983032227,16.730792999267578,2.8659286499023438,3.4844679832458496,4.821424961090088,5.971190452575684,6.4038896560668945,6.452611923217773,6.498763084411621,5.767336845397949,5.447082996368408
gplfr,12.562052726745605,9.792403221130371,9.379716873168945,8.960501670837402,8.720491409301758,8.795233726501465,8.981528282165527,9.134504318237305,10.124918937683105,10.715920448303223,0.33395957946777344,0.33867284655570984,0.37089911103248596,0.4255179762840271,0.49322396516799927,0.5887303352355957,0.6542632579803467,0.6882787346839905,0.7900195121765137,31.66777229309082,20.272037506103516,0.08964855968952179,0.07877951115369797,0.06514912843704224,0.04761270433664322,0.039737433195114136,0.042046334594488144,0.040122635662555695,0.032157327979803085,0.01984882727265358,3.456878662109375,4.225481033325195,5.878407001495361,7.782205104827881,9.808037757873535,11.395683288574219,13.011309623718262,13.75745677947998,14.983664512634277,2.4302549362182617,2.943119764328003,4.032243728637695,5.016164779663086,5.650424957275391,5.797170162200928,6.0107316970825195,5.643715858459473,4.65379524230957
knn,24.28827476501465,18.02802085876465,17.41025733947754,16.884902954101562,16.932941436767578,17.27690315246582,18.428178787231445,20.253999710083008,22.951824188232422,24.002103805541992,0.6044158339500427,0.6132513284683228,0.665799617767334,0.75318843126297,0.8557285666465759,1.0146952867507935,1.1727269887924194,1.2686203718185425,1.3581891059875488,37.99563980102539,29.624378204345703,0.13095884025096893,0.11846955865621567,0.09308706969022751,0.07690774649381638,0.06532471626996994,0.06545224040746689,0.05637266859412193,0.0470195971429348,0.027688119560480118,3.907927989959717,4.826262950897217,6.907280921936035,9.300037384033203,11.761627197265625,13.496084213256836,14.900481224060059,15.562204360961914,17.22260093688965,2.695064067840576,3.253446578979492,4.3962082862854,5.441557884216309,6.065768241882324,6.380667686462402,6.5656962394714355,6.144930839538574,5.306039810180664
pca_mlp,12.938657760620117,9.463075637817383,9.399666786193848,9.686361312866211,9.785746574401855,9.959890365600586,10.083414077758789,10.54082202911377,10.9464111328125,9.662973403930664,0.3624866306781769,0.3780115842819214,0.4219556152820587,0.47221142053604126,0.5246299505233765,0.613525390625,0.675547182559967,0.6625803112983704,0.7049599289894104,35.93268585205078,22.509624481201172,0.10493288189172745,0.09319496899843216,0.07568269222974777,0.05611427128314972,0.052397750318050385,0.05908052995800972,0.05045738443732262,0.03553276136517525,0.022674310952425003,3.9627420902252197,4.725452899932861,6.503650665283203,8.646636962890625,10.952510833740234,12.892748832702637,14.562405586242676,15.235042572021484,15.756087303161621,2.6389880180358887,3.1949877738952637,4.425995826721191,5.49665641784668,6.164614677429199,6.410473823547363,6.683496952056885,6.393493175506592,5.596278667449951
pca_ridge,17.92881202697754,14.750091552734375,14.019375801086426,12.981844902038574,12.614742279052734,12.639261245727539,13.276018142700195,14.564994812011719,17.38926887512207,18.699359893798828,0.4592723250389099,0.4494546353816986,0.47913676500320435,0.5554434061050415,0.6396946907043457,0.7673580646514893,0.8892039656639099,1.004514455795288,1.1088420152664185,42.07376480102539,28.338483810424805,0.11650131642818451,0.10600036382675171,0.08266432583332062,0.0598619244992733,0.05090172588825226,0.05589918792247772,0.05208088085055351,0.039352189749479294,0.024859758093953133,4.174510955810547,5.313155651092529,7.864342212677002,10.400411605834961,12.340930938720703,13.426778793334961,15.41585636138916,18.445270538330078,22.94474220275879,2.8876097202301025,3.5653836727142334,5.037674427032471,6.290168285369873,6.771630764007568,6.785778045654297,6.826083183288574,6.460301399230957,6.01305627822876
ppca_icm,13.73122787475586,11.707731246948242,11.503615379333496,11.167930603027344,11.087851524353027,10.814645767211914,10.47402286529541,9.876839637756348,10.843120574951172,13.492656707763672,0.3986511528491974,0.4016135334968567,0.4266418218612671,0.4748237133026123,0.5390946865081787,0.6426680088043213,0.6993857622146606,0.7075562477111816,0.7852104902267456,43.175376892089844,23.746726989746094,0.1080494150519371,0.09355717897415161,0.07565648853778839,0.05804529786109924,0.0527954138815403,0.05655606463551521,0.05687425285577774,0.04906962811946869,0.0242850910872221,3.4544389247894287,4.197751045227051,5.975240707397461,8.369702339172363,10.894015312194824,12.446328163146973,13.570764541625977,13.661378860473633,15.88336181640625,2.3803539276123047,2.8855412006378174,4.012590408325195,5.0826640129089355,5.822145462036133,6.350657939910889,6.772376537322998,6.319388389587402,5.1776509284973145
train_mean,23.532455444335938,18.393388748168945,17.176456451416016,15.895840644836426,15.6040620803833,15.961960792541504,18.21656036376953,21.407594680786133,26.49456024169922,27.30354118347168,0.5758135318756104,0.5911831259727478,0.6673994660377502,0.7789962887763977,0.8978375792503357,1.0625115633010864,1.2267087697982788,1.3372365236282349,1.3592818975448608,210.4359130859375,37.596221923828125,0.18976351618766785,0.16438442468643188,0.12154657393693924,0.0989532545208931,0.0906805470585823,0.08845096826553345,0.07816693931818008,0.05411442741751671,0.035192545503377914,4.616407871246338,6.1542067527771,10.14785385131836,14.181214332580566,17.31832504272461,18.129121780395508,18.09642791748047,18.48107147216797,21.094255447387695,3.3231778144836426,4.155129432678223,5.8672990798950195,7.276210308074951,7.859653949737549,7.979645252227783,8.130108833312988,7.797508716583252,7.243011951446533
