method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
coord_deeponet,1.0396088361740112,1.1426966190338135,1.1938111782073975,1.2432706356048584,1.2372511625289917,1.4543763399124146,0.08731850981712341,0.7433215975761414,0.7577629685401917,0.6938470602035522,1.1191214323043823,1.144053339958191,1.2640455961227417,1.6182101964950562,1.4253222942352295,1.1253726482391357,1.1819065809249878,1.2014153003692627,1.5796529054641724,1.0026178359985352,1.160268783569336,2.561861991882324,1.339880347251892,1.0462369918823242,1.0215786695480347,1.177628755569458,1.01248300075531,1.1322779655456543,2484.48486328125,1523.500732421875,2.1030826568603516,1.7649155855178833,1.3420240879058838,2.2970030307769775,2.6576337814331055,7.393951892852783,3.542055130004883,1.3816794157028198,1.1551666259765625,2.335658311843872,1.2651911973953247,1.2386175394058228,1.6315327882766724,2.24908709526062,1.2289228439331055,1.220502495765686,1.2888597249984741,0.8081651926040649
coord_mlp,1.0168191194534302,1.0802088975906372,1.0596081018447876,0.9940370321273804,0.8933692574501038,0.4321555197238922,-0.19193486869335175,0.3412356972694397,0.13711418211460114,0.39196231961250305,1.054276704788208,1.0655920505523682,1.1398091316223145,1.427919864654541,1.2664512395858765,0.9877151846885681,0.994494616985321,0.8883333802223206,0.5348667502403259,0.9796286821365356,1.0029146671295166,2.0828752517700195,1.4285308122634888,1.18893563747406,1.0864402055740356,1.2620971202850342,0.9366081953048706,1.0352873802185059,2150.97607421875,1916.843994140625,2.29719877243042,1.78146231174469,1.2806754112243652,2.2303695678710938,2.71427321434021,8.239084243774414,4.632729530334473,1.4079506397247314,0.8915389776229858,2.4252779483795166,1.0111708641052246,1.1409250497817993,1.6447089910507202,2.3043246269226074,1.1706089973449707,1.2586181163787842,1.310193419456482,0.8202540874481201
gplfr,1.0546199083328247,1.189742922782898,1.245719075202942,1.294432520866394,1.442405104637146,1.9191442728042603,0.4090925455093384,0.8104684352874756,0.6894045472145081,1.3053398132324219,1.1543365716934204,1.1907708644866943,1.3183554410934448,1.6837570667266846,1.5032517910003662,1.1975585222244263,1.2927744388580322,1.2913275957107544,1.6421784162521362,1.0050841569900513,1.1863945722579956,3.2242486476898193,1.4755364656448364,1.1522573232650757,1.2487953901290894,1.0878597497940063,1.0293062925338745,1.0853924751281738,2541.305419921875,1998.1075439453125,2.539113759994507,2.0126917362213135,1.4847021102905273,2.4425435066223145,2.78200364112854,8.798288345336914,3.77970290184021,1.5940096378326416,1.5259525775909424,2.7484710216522217,1.2919737100601196,1.4344754219055176,1.880037546157837,2.689603805541992,1.3173335790634155,1.4091789722442627,1.3376072645187378,1.0023187398910522
knn,1.0524619817733765,1.1926294565200806,1.2485295534133911,1.3063467741012573,1.4491897821426392,1.4206072092056274,0.28016287088394165,0.7528768181800842,0.7030002474784851,0.6414910554885864,1.1471446752548218,1.1783384084701538,1.2956570386886597,1.6683262586593628,1.4851977825164795,1.1798349618911743,1.2612594366073608,1.2589263916015625,1.8591617345809937,1.004062294960022,1.0497024059295654,3.530003547668457,1.4135099649429321,1.2453486919403076,1.1783881187438965,1.343294382095337,0.9619849920272827,1.042846918106079,2627.4462890625,2681.033203125,2.764173746109009,2.062068223953247,1.3809740543365479,2.4520468711853027,2.878645181655884,9.74729061126709,4.376594066619873,1.4812239408493042,1.5129191875457764,2.735870599746704,1.3263801336288452,1.422114610671997,1.8597747087478638,2.9514009952545166,1.3083213567733765,1.3608763217926025,1.3714239597320557,1.1029250621795654
pca_mlp,1.0158700942993164,1.168388843536377,1.2201149463653564,1.249503254890442,1.243773341178894,1.5858635902404785,0.36678680777549744,0.8851905465126038,0.8660297989845276,1.3078436851501465,1.1192121505737305,1.147453784942627,1.2625364065170288,1.6090903282165527,1.372542381286621,1.116383671760559,1.208428144454956,1.2409998178482056,1.479813814163208,1.004349946975708,1.1687482595443726,2.9958999156951904,1.4095467329025269,1.1753538846969604,1.2221733331680298,1.236299753189087,0.9647356867790222,1.0768059492111206,2449.10009765625,2365.445068359375,2.2975246906280518,1.8631658554077148,1.3278160095214844,2.3916070461273193,2.7780704498291016,8.08403205871582,3.9908523559570312,1.4112616777420044,1.2481447458267212,2.7230520248413086,1.2505381107330322,1.313503384590149,1.7565444707870483,2.3834784030914307,1.2619967460632324,1.297899603843689,1.2406601905822754,0.7911896109580994
pca_ridge,1.0486650466918945,1.155623197555542,1.206740140914917,1.2503663301467896,1.3627614974975586,0.9494215846061707,-0.40510469675064087,0.06053417548537254,0.17096319794654846,0.11948710680007935,1.1216552257537842,1.1551032066345215,1.2750647068023682,1.6054691076278687,1.4607439041137695,1.1726996898651123,1.2457871437072754,1.2715930938720703,1.827111840248108,1.0049233436584473,1.1301984786987305,2.4204208850860596,1.2571972608566284,1.1741007566452026,1.1668436527252197,1.4642765522003174,0.9788861274719238,1.0863196849822998,2418.256591796875,2139.260986328125,2.236833333969116,1.8679012060165405,1.254058599472046,2.1753060817718506,2.671351432800293,9.221648216247559,3.9807586669921875,1.507674217224121,1.0179307460784912,2.538802146911621,1.0918307304382324,1.2947064638137817,1.7516356706619263,2.931612253189087,1.2572885751724243,1.3553214073181152,1.351472020149231,0.9285218119621277
ppca_icm,1.0581674575805664,1.1912944316864014,1.2456669807434082,1.2698639631271362,1.306197166442871,1.6861047744750977,0.38947635889053345,0.9178017973899841,0.7984595894813538,0.9151325225830078,1.164961338043213,1.2056387662887573,1.348490834236145,1.750128984451294,1.5017539262771606,1.1579134464263916,1.269623875617981,1.2297322750091553,1.6774574518203735,1.0047385692596436,1.1355088949203491,3.3448729515075684,1.527064323425293,1.1509113311767578,1.1553012132644653,1.1421090364456177,0.9521903991699219,1.0344520807266235,2398.477783203125,2486.219970703125,2.5825273990631104,2.0796959400177,1.4532582759857178,2.295707941055298,2.5281753540039062,8.94970703125,3.3379151821136475,1.525512456893921,1.5026073455810547,2.721174955368042,1.4281213283538818,1.585167646408081,1.9380078315734863,3.0422070026397705,1.3739573955535889,1.4099388122558594,1.3066047430038452,0.8943889737129211
train_mean,1.0284435749053955,1.1117584705352783,1.141297459602356,1.187804102897644,1.3136844635009766,1.0720202922821045,-0.36976373195648193,-0.5675075054168701,-0.13519372045993805,0.27522012591362,1.093898892402649,1.1141144037246704,1.1975514888763428,1.4498435258865356,1.2882627248764038,1.023145079612732,1.1247206926345825,1.1650276184082031,1.7571598291397095,1.0018949508666992,1.0000064373016357,2.647345542907715,1.4832215309143066,1.1952894926071167,1.0451818704605103,1.1904706954956055,0.8940930962562561,1.0021499395370483,2207.441162109375,2869.771240234375,2.184699296951294,1.6398979425430298,0.9620855450630188,1.7402836084365845,2.318981409072876,7.524454116821289,3.291897773742676,1.2030848264694214,0.875214695930481,2.0188634395599365,1.0076452493667603,0.9921870827674866,1.4459412097930908,2.2997682094573975,1.1231266260147095,1.1551011800765991,1.1110275983810425,0.7945218086242676
