method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
coord_deeponet,0.8315759301185608,0.9076051115989685,0.8446952700614929,0.8646921515464783,1.0642141103744507,1.2954105138778687,1.2995083332061768,1.3731571435928345,1.483906626701355,2.0662083625793457,0.7630140781402588,0.7306596636772156,0.7205356359481812,0.7445870041847229,0.7471383213996887,0.7596837282180786,0.80107581615448,0.8438320159912109,1.2417446374893188,0.8548805713653564,0.7193819880485535,0.3294549882411957,0.35329481959342957,0.4259266257286072,0.41880089044570923,0.6122099161148071,0.577157735824585,1.2147753238677979,2.786139488220215,34.71792984008789,0.9037976861000061,0.9131656289100647,0.946332573890686,0.8973819613456726,0.865047037601471,0.8218980431556702,0.83406001329422,0.976917028427124,1.7970181703567505,0.9124376177787781,0.9387737512588501,0.9222490191459656,0.8895232677459717,0.8324547410011292,0.8479225039482117,0.8985340595245361,0.9175446629524231,1.5631489753723145
coord_mlp,1.4651459455490112,0.9271280765533447,0.9493970274925232,0.9928741455078125,1.121176838874817,1.1679619550704956,1.0662237405776978,1.050408959388733,1.4626940488815308,1.8461418151855469,1.1403206586837769,1.0015102624893188,0.9397572875022888,0.9756972789764404,1.0262224674224854,1.0415972471237183,1.1355098485946655,1.1449589729309082,1.8903310298919678,2.432762384414673,1.0442137718200684,0.33430883288383484,0.3404949903488159,0.4033726751804352,0.427099347114563,0.47204825282096863,0.4104216992855072,0.999305009841919,0.997698187828064,8.28441333770752,1.0308682918548584,1.0527983903884888,1.1993741989135742,1.100083827972412,0.9767225980758667,0.8944981694221497,0.9232303500175476,0.9900124669075012,1.572756052017212,1.0057934522628784,1.0407766103744507,1.053673505783081,1.0347453355789185,0.9276272058486938,0.9252720475196838,0.9267013669013977,0.8562836647033691,1.5165011882781982
gplfr,0.886920690536499,0.922089159488678,0.9202907085418701,0.973493218421936,1.13143789768219,1.0655368566513062,0.8317205905914307,0.737197995185852,1.0698497295379639,1.5945683717727661,0.6896159648895264,0.6500332951545715,0.6311160922050476,0.6406978964805603,0.6817110180854797,0.7329025268554688,0.7930086255073547,0.8671770691871643,1.6381365060806274,0.6241759061813354,0.6207244992256165,0.25642597675323486,0.265849232673645,0.3216584324836731,0.39427927136421204,0.469101220369339,0.368416428565979,1.8072810173034668,3.789679765701294,12.413118362426758,0.808947741985321,0.8317312002182007,0.8787269592285156,0.8462516665458679,0.8084449768066406,0.7819833159446716,0.7965673804283142,0.9142786860466003,1.8564461469650269,0.8229742646217346,0.8456001281738281,0.8344858288764954,0.7996151447296143,0.7641319632530212,0.7580364346504211,0.8095869421958923,0.8923128843307495,1.2899147272109985
knn,1.8348214626312256,1.752544641494751,1.7892760038375854,1.851495385169983,2.276186466217041,2.4195332527160645,2.236170768737793,2.393777847290039,2.8883800506591797,4.008753776550293,1.4629390239715576,1.368802785873413,1.3163666725158691,1.3554880619049072,1.4122815132141113,1.5270541906356812,1.797094464302063,1.7312480211257935,3.7825591564178467,0.8021823763847351,1.0023070573806763,0.4035266637802124,0.4698195159435272,0.5744958519935608,0.5983997583389282,0.6563440561294556,0.5649217963218689,2.112175941467285,12.02575397491455,34.14094543457031,0.954255223274231,1.0194615125656128,1.162868857383728,1.12514328956604,1.0634456872940063,0.9787234663963318,0.9373265504837036,0.9737797379493713,1.6408320665359497,0.9419952034950256,0.981566846370697,0.9727263450622559,0.9456658363342285,0.8999437689781189,0.9388171434402466,1.0308533906936646,1.1209040880203247,1.5479614734649658
pca_mlp,0.8259304761886597,0.8096478581428528,0.8616222143173218,0.9484190940856934,1.094506859779358,1.254078984260559,1.1080944538116455,1.0918376445770264,1.3192815780639648,1.7244446277618408,0.7155877947807312,0.7221248149871826,0.7400231957435608,0.7449900507926941,0.7510840892791748,0.7592355012893677,0.7985528111457825,0.7887874245643616,1.2427854537963867,0.7242574095726013,0.7238374352455139,0.3172052502632141,0.3431759178638458,0.40765154361724854,0.5270373225212097,0.7080016136169434,0.4847169816493988,1.729309320449829,3.540029287338257,10.802657127380371,0.932491660118103,0.9466933012008667,1.0093895196914673,0.9492968916893005,0.9021833539009094,0.8836307525634766,0.888679563999176,0.9739812612533569,1.7191975116729736,0.8979811072349548,0.9076089262962341,0.9138694405555725,0.8859761953353882,0.8492003679275513,0.8822890520095825,0.930814802646637,1.0368469953536987,1.5404517650604248
pca_ridge,1.2273492813110352,1.2732973098754883,1.280346155166626,1.261532187461853,1.436842441558838,1.4516905546188354,1.2075072526931763,1.2630305290222168,1.768054485321045,2.414266347885132,0.9806169867515564,0.8933324217796326,0.8522433042526245,0.8998366594314575,0.967029333114624,1.019087553024292,1.1318455934524536,1.2674254179000854,2.184670925140381,0.9082302451133728,0.9245034456253052,0.334098756313324,0.3759925663471222,0.4463668167591095,0.5286128520965576,0.7118479013442993,0.5301437377929688,1.323573350906372,2.752199411392212,33.46803665161133,0.9804155826568604,1.0815702676773071,1.2573186159133911,1.211367130279541,1.0896334648132324,1.0401500463485718,1.1056493520736694,1.4280186891555786,2.8789539337158203,1.0359658002853394,1.0975621938705444,1.1066395044326782,1.068696141242981,0.9574621319770813,0.9474704265594482,0.9437916874885559,0.9905600547790527,2.0121676921844482
ppca_icm,0.9958089590072632,1.114868402481079,1.202024221420288,1.2458791732788086,1.4848549365997314,1.47475266456604,1.0086817741394043,0.8319085240364075,1.2011042833328247,2.5426619052886963,0.8817284107208252,0.791652262210846,0.7375277876853943,0.7517032623291016,0.7668883800506592,0.7927882671356201,0.8340287208557129,0.8818085789680481,1.667100191116333,0.991075873374939,0.7884640693664551,0.3191215693950653,0.3334130346775055,0.4231936037540436,0.468317449092865,0.5503631234169006,0.46018293499946594,7.8673930168151855,6.682897090911865,26.58001136779785,0.8334718346595764,0.8531349301338196,0.9493038654327393,0.977040708065033,0.955275297164917,0.894652783870697,0.8408015966415405,0.8560939431190491,1.5584518909454346,0.8245722055435181,0.8544455170631409,0.879589319229126,0.8519726395606995,0.8065590858459473,0.8402757048606873,0.8769151568412781,0.9240580797195435,1.3939039707183838
train_mean,1.5984883308410645,1.4306377172470093,1.412886381149292,1.321104645729065,1.4322500228881836,1.568255066871643,1.8692706823349,2.6418211460113525,3.696612596511841,5.516278266906738,1.1729323863983154,1.1700783967971802,1.246533751487732,1.358267068862915,1.445160984992981,1.490573763847351,1.6038858890533447,1.8502955436706543,3.0915000438690186,5.095102787017822,1.4686790704727173,0.5521609783172607,0.58757084608078,0.6319026947021484,0.7401875853538513,0.9180334806442261,0.7645567059516907,5.972095489501953,8.015172004699707,201.26284790039062,1.0760571956634521,1.1992416381835938,1.4658503532409668,1.5495731830596924,1.5135281085968018,1.4108668565750122,1.3035579919815063,1.3798209428787231,2.518280506134033,1.1390000581741333,1.1905468702316284,1.286407470703125,1.2595925331115723,1.1299138069152832,1.114560842514038,1.1254422664642334,1.2382465600967407,2.6567819118499756
