method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
coord_deeponet,0.9608883857727051,0.9061194062232971,0.8907710909843445,0.8589945435523987,0.7692272067070007,0.5190656781196594,0.20080852508544922,0.3011944591999054,0.5817873477935791,0.3394794166088104,0.920254647731781,0.895211935043335,0.8487988114356995,0.8176629543304443,0.8217473030090332,0.8432648181915283,0.8286799788475037,0.7884809374809265,0.4309263527393341,0.9928370118141174,0.8578422665596008,0.5416470170021057,0.6115239858627319,0.6331961154937744,0.6857777237892151,0.7435874342918396,0.8149398565292358,0.8095290064811707,0.7168723940849304,0.44547438621520996,0.7661290168762207,0.6988705396652222,0.6717942357063293,0.7017268538475037,0.6814740896224976,0.6761177778244019,0.6607102155685425,0.5708473324775696,0.4280517101287842,0.7005963921546936,0.6410636901855469,0.6116474866867065,0.6604519486427307,0.7070200443267822,0.7662703990936279,0.7249733209609985,0.6397606134414673,0.5378606915473938
coord_mlp,0.940568745136261,0.8606961369514465,0.7923543453216553,0.6855367422103882,0.572245180606842,0.31833481788635254,0.030344484373927116,0.04375148564577103,0.10946868360042572,0.1305805742740631,0.871506929397583,0.8372635841369629,0.7638169527053833,0.7173831462860107,0.7262454628944397,0.7496175169944763,0.7099588513374329,0.5820356607437134,0.17318156361579895,0.9700843095779419,0.7534255981445312,0.5036926865577698,0.6057935953140259,0.6965349316596985,0.7222157120704651,0.7328693866729736,0.7687844634056091,0.7530347108840942,0.6609870791435242,0.40695545077323914,0.7664437294006348,0.7060264348983765,0.6542605757713318,0.6748276948928833,0.6662299633026123,0.6936345100402832,0.6924805045127869,0.5863810181617737,0.3128262162208557,0.6706856489181519,0.6221445798873901,0.6169632077217102,0.6647703647613525,0.7155156135559082,0.7648820281028748,0.7433123588562012,0.6703652143478394,0.511984646320343
gplfr,0.9744407534599304,0.9402139782905579,0.9276677370071411,0.8991066217422485,0.8455694317817688,0.6325103044509888,0.30197182297706604,0.4092521369457245,0.5277618765830994,0.3583110272884369,0.9462230801582336,0.9313247203826904,0.8928399682044983,0.8710747957229614,0.8684359192848206,0.8890699148178101,0.8760254979133606,0.8428899049758911,0.49508553743362427,0.9952850341796875,0.8808661699295044,0.6479973196983337,0.6574907898902893,0.7045041918754578,0.7891246676445007,0.8056666851043701,0.8252934217453003,0.7910360097885132,0.7372644543647766,0.47810861468315125,0.8403476476669312,0.7971959710121155,0.7718755006790161,0.7764026522636414,0.7576834559440613,0.7444544434547424,0.7336097955703735,0.6525846719741821,0.5866237282752991,0.7701708078384399,0.7328281402587891,0.7121517062187195,0.7401055693626404,0.7517197132110596,0.8133377432823181,0.787656843662262,0.6843330264091492,0.5540812015533447
knn,0.9718391299247742,0.9372060298919678,0.9222522974014282,0.8960109949111938,0.8328142762184143,0.573249876499176,0.19172421097755432,0.3349599540233612,0.38997775316238403,0.23583360016345978,0.9367420077323914,0.9148127436637878,0.8591408133506775,0.8263691663742065,0.8306060433387756,0.8614633679389954,0.8448601365089417,0.8169947862625122,0.4881959855556488,0.9942751526832581,0.7895357608795166,0.5080494284629822,0.5821489691734314,0.7289882302284241,0.7681125402450562,0.7796052098274231,0.7771134376525879,0.7550173997879028,0.6974307298660278,0.5099791884422302,0.8265324831008911,0.7927584648132324,0.7506298422813416,0.7405188083648682,0.733512818813324,0.7411426901817322,0.7258456945419312,0.657507598400116,0.5422638654708862,0.7339926362037659,0.7040108442306519,0.6891725063323975,0.7189476490020752,0.7477596998214722,0.7894559502601624,0.7680423259735107,0.6757392287254333,0.6395416259765625
pca_mlp,0.9416088461875916,0.9271969795227051,0.912687361240387,0.8683270215988159,0.7779092192649841,0.5421828031539917,0.2899855673313141,0.42599236965179443,0.6155175566673279,0.36370664834976196,0.9211965203285217,0.8998488783836365,0.8494448661804199,0.8202183842658997,0.8176051378250122,0.8551281094551086,0.8515249490737915,0.8066412806510925,0.4428115487098694,0.9945567846298218,0.8610593676567078,0.5686041116714478,0.6181768774986267,0.6938952207565308,0.782137393951416,0.7888132333755493,0.7751681804656982,0.7794289588928223,0.7223292589187622,0.468941330909729,0.7866681814193726,0.7425430417060852,0.7095494270324707,0.7052886486053467,0.6848162412643433,0.6817291975021362,0.6969205141067505,0.5846617221832275,0.40411683917045593,0.7399721741676331,0.7013797760009766,0.6827616095542908,0.7004193067550659,0.7187612056732178,0.7657161951065063,0.7486475110054016,0.6311841607093811,0.46804293990135193
pca_ridge,0.9693368077278137,0.9147222638130188,0.8979283571243286,0.864172101020813,0.7990479469299316,0.4803101718425751,-0.0734153762459755,0.0196570735424757,0.11148242652416229,0.09199471026659012,0.9263615608215332,0.9095466732978821,0.8656697869300842,0.8340693116188049,0.8341401219367981,0.8557502031326294,0.8433834314346313,0.8305245041847229,0.4880234897136688,0.9951134920120239,0.8554545044898987,0.5350703597068787,0.562390148639679,0.695152997970581,0.7726197242736816,0.783937931060791,0.7928950190544128,0.7812964916229248,0.7292760014533997,0.4815067648887634,0.7752074599266052,0.7046893835067749,0.6370155811309814,0.6453936100006104,0.6603471636772156,0.6849416494369507,0.694553017616272,0.6073952317237854,0.3964378833770752,0.69212806224823,0.6482823491096497,0.6529769897460938,0.6839055418968201,0.7233347296714783,0.7760009169578552,0.7665687203407288,0.6887248754501343,0.5590888857841492
ppca_icm,0.9767318367958069,0.9390233755111694,0.9235429167747498,0.8716311454772949,0.7780613899230957,0.5661534070968628,0.3922206163406372,0.4212740659713745,0.5672284364700317,0.3589944541454315,0.9505437612533569,0.9357948303222656,0.8951979279518127,0.8619225025177002,0.8499263525009155,0.8714542984962463,0.8644118905067444,0.8039225339889526,0.4695762097835541,0.9949349761009216,0.8394532203674316,0.6018925309181213,0.6673944592475891,0.694930911064148,0.7466293573379517,0.7596955299377441,0.7617787718772888,0.747351884841919,0.7082646489143372,0.4752645790576935,0.8408704996109009,0.8022832274436951,0.76542729139328,0.7396520972251892,0.7117361426353455,0.7020647525787354,0.6954591274261475,0.6325028538703918,0.5702502727508545,0.7659957408905029,0.7395791411399841,0.7181865572929382,0.7462944388389587,0.7767041325569153,0.8176736235618591,0.7629494071006775,0.6308711767196655,0.42289990186691284
train_mean,0.9520431756973267,0.88278728723526,0.8525660037994385,0.8198134899139404,0.7650002837181091,0.4732271134853363,-0.0770760104060173,-0.30290356278419495,-0.10836569964885712,0.13689568638801575,0.9060956835746765,0.8813931941986084,0.8169846534729004,0.7601168155670166,0.7316544055938721,0.7512005567550659,0.74913090467453,0.7593993544578552,0.4605964124202728,0.9921225905418396,0.7458138465881348,0.5205682516098022,0.6002575159072876,0.6838636994361877,0.7148840427398682,0.7131218910217285,0.7308616042137146,0.7165215611457825,0.6797709465026855,0.5033141374588013,0.7292571067810059,0.6309190392494202,0.5078915953636169,0.5563798546791077,0.5912933349609375,0.6134637594223022,0.6073296666145325,0.49098408222198486,0.33510759472846985,0.596021831035614,0.4945034384727478,0.44683924317359924,0.5474467277526855,0.6367189288139343,0.6858325600624084,0.6696767210960388,0.5690593123435974,0.463653564453125
