method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
coord_deeponet,0.927396833896637,0.8933830857276917,0.8565623760223389,0.8043686747550964,0.6350340843200684,0.4359997808933258,0.33650141954421997,0.37948358058929443,0.37195542454719543,0.2752349078655243,0.900277853012085,0.8804162740707397,0.8417375087738037,0.8023667931556702,0.791719377040863,0.8041220307350159,0.7894636392593384,0.7297813296318054,0.37932997941970825,0.991318941116333,0.8320040106773376,0.6105049252510071,0.6413471102714539,0.7226199507713318,0.7948976755142212,0.8204130530357361,0.8131160736083984,0.7704732418060303,0.670325756072998,0.37605616450309753,0.8126817345619202,0.7538790702819824,0.6873201131820679,0.6625604033470154,0.6191794276237488,0.610651969909668,0.6148449182510376,0.47509217262268066,0.3786468505859375,0.7620073556900024,0.7023171782493591,0.6247529983520508,0.6017336845397949,0.6885842084884644,0.7014584541320801,0.6179769039154053,0.5399213433265686,0.27643775939941406
coord_mlp,0.9493057727813721,0.8950985074043274,0.865784764289856,0.802226722240448,0.6976460814476013,0.4388938844203949,0.22522352635860443,0.3503350019454956,0.42988747358322144,0.1517559140920639,0.91315096616745,0.8978201150894165,0.8575058579444885,0.8232598304748535,0.8266146183013916,0.846046507358551,0.7853795886039734,0.672680139541626,0.320300817489624,0.9758015275001526,0.8175722360610962,0.5328413248062134,0.5904486179351807,0.7031869292259216,0.7769857048988342,0.802560567855835,0.8096565008163452,0.794454038143158,0.6706578731536865,0.38099369406700134,0.790961742401123,0.7378518581390381,0.6814761161804199,0.6733853220939636,0.6627159118652344,0.6224863529205322,0.5779621005058289,0.4922705888748169,0.29242852330207825,0.7722617983818054,0.7022277116775513,0.6133878827095032,0.5672197341918945,0.6426592469215393,0.7078413963317871,0.6364179253578186,0.556403398513794,0.3959396779537201
gplfr,0.9738911390304565,0.9398269057273865,0.924278974533081,0.8974249958992004,0.8233047723770142,0.6590431332588196,0.588969886302948,0.68827223777771,0.5573011636734009,0.4244869649410248,0.9556341767311096,0.9432905316352844,0.9134197235107422,0.8867214918136597,0.883165717124939,0.8884711265563965,0.8715100884437561,0.8048741817474365,0.4852362871170044,0.9954549670219421,0.8975110054016113,0.787964940071106,0.8019993305206299,0.8115444183349609,0.8574134707450867,0.8557654619216919,0.8670779466629028,0.8423506021499634,0.7368050217628479,0.4306754171848297,0.8537142872810364,0.8100940585136414,0.7901427745819092,0.7904971241950989,0.7850736975669861,0.7713606953620911,0.7309873700141907,0.6695559024810791,0.6172528266906738,0.8119499683380127,0.7844083309173584,0.7637497782707214,0.7434942126274109,0.7548623085021973,0.798488974571228,0.768517017364502,0.6102365851402283,0.32288527488708496
knn,0.9736183881759644,0.9377734661102295,0.921143651008606,0.8984028697013855,0.8118715882301331,0.560303270816803,0.37901169061660767,0.5392204523086548,0.4906712770462036,0.42842262983322144,0.9513370990753174,0.9377027750015259,0.8991228342056274,0.8602144122123718,0.8584349751472473,0.8769769072532654,0.8330302238464355,0.7891894578933716,0.3849888741970062,0.9940649271011353,0.8868163228034973,0.7132807970046997,0.723684549331665,0.7465313673019409,0.7877500653266907,0.833829939365387,0.8420866131782532,0.7969388365745544,0.6926804184913635,0.4156438112258911,0.8462501764297485,0.8086046576499939,0.7706311941146851,0.767276406288147,0.7626765966415405,0.747806191444397,0.7385576367378235,0.6490516662597656,0.4925973117351532,0.7987788319587708,0.7693040370941162,0.7081729173660278,0.6947230696678162,0.7642062902450562,0.7937965989112854,0.7365208268165588,0.6384364366531372,0.5431082248687744
pca_mlp,0.9699221253395081,0.9181942939758301,0.8914448022842407,0.849783718585968,0.7297820448875427,0.5454294085502625,0.34969523549079895,0.4023846387863159,0.4398879110813141,0.333201140165329,0.9416162967681885,0.9219566583633423,0.8713359236717224,0.8319843411445618,0.8181625604629517,0.8344495296478271,0.8206247687339783,0.7729200124740601,0.4905819594860077,0.9946661591529846,0.8477712273597717,0.7351567149162292,0.7128908038139343,0.7265946269035339,0.8092048764228821,0.8329873085021973,0.8389140367507935,0.7944140434265137,0.6767057776451111,0.39990347623825073,0.8292454481124878,0.7746680974960327,0.7038342356681824,0.6836031079292297,0.7170396447181702,0.7221635580062866,0.6675136089324951,0.5945627689361572,0.4425174593925476,0.7795621752738953,0.7411213517189026,0.6607236266136169,0.6145966053009033,0.6804913282394409,0.7223812937736511,0.6620945930480957,0.5892896056175232,0.3468766510486603
pca_ridge,0.9713303446769714,0.9153749346733093,0.8875498175621033,0.8043681383132935,0.6688284277915955,0.33448120951652527,0.007853133603930473,0.4226517081260681,0.4286996126174927,0.11789346486330032,0.9360595941543579,0.917979896068573,0.8712140917778015,0.8314607739448547,0.8351355791091919,0.8601382374763489,0.8377234935760498,0.7621510028839111,0.44323867559432983,0.9945690631866455,0.8740373253822327,0.6253980398178101,0.6711632013320923,0.7416882514953613,0.7928289175033569,0.8108097314834595,0.8255895972251892,0.7861963510513306,0.6912494897842407,0.37821972370147705,0.7899441719055176,0.7193328142166138,0.67633056640625,0.6585925221443176,0.6461353898048401,0.6555912494659424,0.6441708207130432,0.5191816687583923,0.2831968069076538,0.7714916467666626,0.7130399942398071,0.6264305710792542,0.5699141025543213,0.657865047454834,0.7206924557685852,0.6489256024360657,0.574728786945343,0.4051304757595062
ppca_icm,0.9633201360702515,0.9108024835586548,0.886179506778717,0.8489930033683777,0.7632838487625122,0.5939153432846069,0.5878541469573975,0.6320393085479736,0.49248799681663513,0.35607150197029114,0.9393836259841919,0.9217994213104248,0.8838300108909607,0.846640408039093,0.821063220500946,0.8280957937240601,0.8458448648452759,0.7903364300727844,0.4492821991443634,0.9947848320007324,0.848909854888916,0.6960435509681702,0.7051560282707214,0.7529798150062561,0.7970510125160217,0.8231413960456848,0.8245502710342407,0.7988412976264954,0.6807193756103516,0.4008144438266754,0.8256957530975342,0.7722926139831543,0.7000617980957031,0.6974422335624695,0.7088584303855896,0.6912046670913696,0.6366020441055298,0.6013303995132446,0.5504788756370544,0.7577720880508423,0.7141940593719482,0.6160898208618164,0.6203880906105042,0.6976678371429443,0.7363747954368591,0.7013159394264221,0.5290206074714661,0.24310974776744843
train_mean,0.9600148797035217,0.8759675621986389,0.8421297669410706,0.7840602993965149,0.6518055200576782,0.2439267784357071,-0.20298875868320465,0.3764951825141907,0.44788098335266113,0.06553534418344498,0.9054008722305298,0.8788393139839172,0.8159724473953247,0.7567963600158691,0.7367811799049377,0.7586089372634888,0.7472726702690125,0.7012603878974915,0.42998355627059937,0.9930168390274048,0.7958782315254211,0.43099018931388855,0.49211394786834717,0.6339539885520935,0.7464467883110046,0.7655882835388184,0.7407134771347046,0.7301698327064514,0.6589001417160034,0.36802566051483154,0.7107928395271301,0.6212842464447021,0.5179192423820496,0.5171129107475281,0.5449936389923096,0.5520700812339783,0.5436584949493408,0.3965587913990021,0.2090521603822708,0.7433719038963318,0.682264506816864,0.550101101398468,0.4857558012008667,0.5974490642547607,0.6474712491035461,0.5787604451179504,0.50880366563797,0.3711327016353607
