method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
coord_deeponet,13.010778427124023,10.501518249511719,10.1477632522583,9.96661376953125,9.992374420166016,10.173738479614258,10.570544242858887,11.043169975280762,12.021905899047852,14.625927925109863,14.704585075378418,0.40494999289512634,0.41441336274147034,0.433747798204422,0.4697986841201782,0.5190651416778564,0.5869770050048828,0.6422328352928162,0.6951845288276672,0.7936437129974365,0.8224028944969177,39.69429016113281,20.71087646484375,0.11112756282091141,0.09441167861223221,0.07495145499706268,0.05946255102753639,0.05464816465973854,0.060614414513111115,0.05088526010513306,0.03748060017824173,0.02439160831272602,0.005471516866236925,3.8075952529907227,4.671566486358643,6.5491228103637695,8.472182273864746,10.274019241333008,11.675924301147461,13.35568904876709,14.781495094299316,16.86983871459961,25.44447135925293,2.734807252883911,3.3170340061187744,4.4361162185668945,5.38321590423584,5.907228469848633,6.2485456466674805,6.397612571716309,6.080552577972412,5.619986534118652,5.522881507873535
coord_mlp,15.4172945022583,10.428175926208496,9.887045860290527,9.353229522705078,9.0635986328125,9.417220115661621,9.901899337768555,10.217248916625977,11.748688697814941,16.082958221435547,13.57446575164795,0.4497191905975342,0.4399992823600769,0.44785362482070923,0.48510146141052246,0.5358948111534119,0.6144086718559265,0.693778932094574,0.7491471171379089,0.9434722661972046,0.8479731678962708,91.38758087158203,29.06109046936035,0.12697209417819977,0.10964071750640869,0.08498688042163849,0.06693101674318314,0.05863029509782791,0.05921556428074837,0.05562521144747734,0.04307754337787628,0.026313738897442818,0.00552657525986433,4.076609134674072,4.831850528717041,6.8146281242370605,9.038161277770996,10.905962944030762,12.5486421585083,14.166284561157227,14.918193817138672,17.78370475769043,25.410287857055664,2.823833465576172,3.395617961883545,4.615718841552734,5.666182518005371,6.158200740814209,6.385841369628906,6.406342506408691,5.897677421569824,5.241216659545898,5.142784595489502
gplfr,10.497186660766602,8.587282180786133,8.416025161743164,8.037108421325684,7.840500354766846,7.848041534423828,7.757363319396973,7.76522159576416,9.313131332397461,11.501657485961914,9.748992919921875,0.3167145252227783,0.3171033561229706,0.33806106448173523,0.3780030310153961,0.41395074129104614,0.4692266583442688,0.5159427523612976,0.5533347129821777,0.6278018951416016,0.663753092288971,25.570335388183594,17.607248306274414,0.0905262678861618,0.08016803860664368,0.06712706387042999,0.05322295427322388,0.04583359137177467,0.046251971274614334,0.041079532355070114,0.032938770949840546,0.021232634782791138,0.005841248668730259,3.0805721282958984,3.722586154937744,5.2194294929504395,7.048401355743408,8.680571556091309,10.110546112060547,11.66519546508789,12.696023941040039,14.245678901672363,22.476572036743164,2.1353259086608887,2.5989744663238525,3.566439628601074,4.426924705505371,4.9211249351501465,5.152764797210693,5.392332077026367,5.340103626251221,4.865334510803223,4.3658127784729
knn,20.53756332397461,15.161856651306152,14.797037124633789,14.593901634216309,14.741069793701172,15.098692893981934,16.25092315673828,17.64273452758789,19.78917694091797,20.476303100585938,16.360862731933594,0.6187283396720886,0.622463047504425,0.6551336646080017,0.7240534424781799,0.8149055242538452,0.9366133213043213,1.0541940927505493,1.1415355205535889,1.1553822755813599,1.073144793510437,37.7646598815918,26.98819351196289,0.128930926322937,0.11704086512327194,0.09414016455411911,0.07605332136154175,0.06650044023990631,0.06696294993162155,0.05660483241081238,0.04832196608185768,0.02870664931833744,0.019828638061881065,3.496594190597534,4.280198097229004,6.09702205657959,8.250930786132812,10.302253723144531,12.079873085021973,13.920138359069824,15.517767906188965,16.563405990600586,23.1060848236084,2.4080777168273926,2.9373505115509033,3.966878890991211,4.933230876922607,5.513044357299805,5.899513244628906,6.258503437042236,6.0535736083984375,5.299769878387451,4.310648441314697
pca_mlp,12.731175422668457,9.675521850585938,9.505108833312988,9.205543518066406,8.869279861450195,8.694286346435547,9.127676010131836,9.663830757141113,10.213122367858887,10.516684532165527,20.179569244384766,0.3958066999912262,0.40283122658729553,0.4291181266307831,0.46610668301582336,0.503730833530426,0.5609399676322937,0.6194973587989807,0.6377557516098022,0.6707984805107117,0.8396138548851013,37.37434768676758,20.871685028076172,0.11086057126522064,0.09636268019676208,0.08319445699453354,0.0678277537226677,0.06169658154249191,0.0649777352809906,0.05892275646328926,0.046348679810762405,0.02670685015618801,0.00956905446946621,3.711815357208252,4.392305374145508,6.075838565826416,8.082205772399902,9.978797912597656,11.696435928344727,13.533525466918945,15.228130340576172,17.023975372314453,27.385225296020508,2.6348812580108643,3.1671900749206543,4.280649185180664,5.283512592315674,5.886894702911377,6.232355117797852,6.431872367858887,6.246575832366943,5.925678730010986,6.869925022125244
pca_ridge,16.91155433654785,14.298811912536621,13.958239555358887,13.23495864868164,12.734661102294922,12.516639709472656,12.400777816772461,13.190268516540527,16.495023727416992,19.144498825073242,16.408597946166992,0.4916892945766449,0.4811946749687195,0.49059033393859863,0.5435855984687805,0.6095311641693115,0.7037043571472168,0.7822693586349487,0.8688081502914429,0.9648879170417786,1.029984712600708,47.42533874511719,24.85892105102539,0.1323004812002182,0.11906587332487106,0.094223253428936,0.07074908167123795,0.06060193106532097,0.06268882751464844,0.05657421424984932,0.042586799710989,0.027043327689170837,0.00545225664973259,3.9508984088897705,5.041183948516846,7.515052795410156,10.071588516235352,12.111201286315918,13.530618667602539,15.493151664733887,17.74485969543457,20.684114456176758,24.780550003051758,2.7041733264923096,3.3455891609191895,4.71991491317749,5.928436756134033,6.469729900360107,6.653873443603516,6.82835578918457,6.5859456062316895,6.1639862060546875,5.211104393005371
ppca_icm,10.734400749206543,8.914569854736328,8.644206047058105,8.358378410339355,8.363959312438965,8.272560119628906,8.116836547851562,7.784480571746826,9.668815612792969,12.398883819580078,10.42494010925293,0.35399752855300903,0.3529665470123291,0.3750927746295929,0.41318652033805847,0.44366827607154846,0.4901092052459717,0.5401881337165833,0.5984959006309509,0.7309528589248657,0.6444509029388428,47.90688705444336,19.788055419921875,0.1059369146823883,0.09411823004484177,0.0778295248746872,0.06610409915447235,0.0594567134976387,0.06174073740839958,0.05509505048394203,0.04618539288640022,0.02410239912569523,0.010614383965730667,3.337486743927002,4.020183563232422,5.660869598388672,7.673810958862305,9.558295249938965,11.036940574645996,12.652366638183594,13.758195877075195,16.171281814575195,24.352766036987305,2.3064424991607666,2.797814130783081,3.880621910095215,4.9327850341796875,5.581965923309326,5.995426654815674,6.357978343963623,6.1409735679626465,5.439415454864502,4.843050479888916
train_mean,25.25574493408203,19.30874252319336,18.023679733276367,17.10405731201172,17.074758529663086,17.434179306030273,19.060224533081055,21.436227798461914,26.04708480834961,28.0606689453125,29.074325561523438,0.7003704309463501,0.7088080644607544,0.7672653794288635,0.8620550036430359,0.9724892973899841,1.1355249881744385,1.3169878721237183,1.4750345945358276,1.5351405143737793,1.5272767543792725,196.78746032714844,40.900150299072266,0.2037293016910553,0.17176778614521027,0.126819908618927,0.1051015630364418,0.09635590761899948,0.09234510362148285,0.08030680567026138,0.056899767369031906,0.036394499242305756,0.012945289723575115,4.566961765289307,5.980433464050293,9.705595016479492,13.835334777832031,17.442363739013672,19.371580123901367,20.707609176635742,21.898916244506836,24.321380615234375,30.010128021240234,3.2081291675567627,3.983907461166382,5.552612781524658,6.886298656463623,7.530115604400635,7.937849998474121,8.302462577819824,8.146831512451172,7.891636371612549,8.616887092590332
