method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
coord_deeponet,0.941993236541748,0.9138807654380798,0.8987224102020264,0.8630737066268921,0.7882726192474365,0.5484504699707031,0.2830790579319,0.3065275251865387,0.25697943568229675,0.2924482524394989,0.16406071186065674,0.870686411857605,0.855571448802948,0.820799708366394,0.801095187664032,0.7990569472312927,0.8088008165359497,0.8017000555992126,0.7749021649360657,0.515434980392456,0.17260855436325073,0.9940666556358337,0.8441734910011292,0.5640226006507874,0.6376214623451233,0.6716970205307007,0.7097110152244568,0.7327726483345032,0.7750043869018555,0.7417792677879333,0.6531225442886353,0.46388500928878784,0.1615930050611496,0.7879732251167297,0.7388905882835388,0.6890320777893066,0.7037144899368286,0.7132096290588379,0.7246080636978149,0.7093595266342163,0.6127446889877319,0.43850621581077576,0.4303899109363556,0.7038514614105225,0.6631945371627808,0.6188712120056152,0.6360352039337158,0.7062658667564392,0.7228716015815735,0.6896085739135742,0.6030874252319336,0.5099749565124512,0.4703187048435211
coord_mlp,0.924899697303772,0.8417023420333862,0.8154064416885376,0.7704355120658875,0.6930699348449707,0.5273893475532532,0.2932248115539551,0.259819895029068,0.19487223029136658,0.04460733383893967,-0.08718235790729523,0.8297070264816284,0.8100168704986572,0.7785012125968933,0.755627453327179,0.7467149496078491,0.7453939914703369,0.7092821002006531,0.6095373630523682,0.22377388179302216,0.11177613586187363,0.9633331298828125,0.7089260816574097,0.4934748709201813,0.5664509534835815,0.6560170650482178,0.7107461094856262,0.7177882194519043,0.7205432057380676,0.6942442059516907,0.6167940497398376,0.3947669565677643,0.056164827197790146,0.7455790638923645,0.6677917242050171,0.5965425372123718,0.5747406482696533,0.6084815859794617,0.6430423855781555,0.6426026225090027,0.5305367708206177,0.29611021280288696,0.27574875950813293,0.6367471218109131,0.5896764397621155,0.5633323192596436,0.6193652749061584,0.6929375529289246,0.7390121221542358,0.7228056192398071,0.6747283935546875,0.5372627377510071,0.45431604981422424
gplfr,0.9737985730171204,0.9308893084526062,0.9172616600990295,0.8854497671127319,0.8415555357933044,0.6900558471679688,0.4944441318511963,0.6022850871086121,0.6351783871650696,0.45571058988571167,0.37395891547203064,0.9046592712402344,0.8954424858093262,0.8767977356910706,0.8720099925994873,0.8752666711807251,0.888640284538269,0.8774192333221436,0.8390275835990906,0.5369656682014465,0.28500932455062866,0.995858371257782,0.8879652619361877,0.6391088962554932,0.6489903330802917,0.7122634053230286,0.7845707535743713,0.7749153971672058,0.7790033221244812,0.749998927116394,0.6820822358131409,0.5121630430221558,0.17931082844734192,0.8485311269760132,0.8063688278198242,0.7588302493095398,0.7749143242835999,0.7971974015235901,0.7888023257255554,0.7765195965766907,0.7157083749771118,0.5918065905570984,0.519352912902832,0.7939283847808838,0.760600745677948,0.7248525023460388,0.7278836369514465,0.7461621761322021,0.7897843718528748,0.7728964686393738,0.6799811720848083,0.5031871795654297,0.5330305099487305
knn,0.9692226648330688,0.9226059913635254,0.9101226329803467,0.8908051252365112,0.8391108512878418,0.6197134256362915,0.35886693000793457,0.49476462602615356,0.5348249673843384,0.38759559392929077,0.4567294716835022,0.8924985527992249,0.8764176964759827,0.8392492532730103,0.8242588043212891,0.8398192524909973,0.8581878542900085,0.8599434494972229,0.8046861886978149,0.538619875907898,0.35842669010162354,0.9946697950363159,0.7837823033332825,0.5727669596672058,0.6346176862716675,0.7189214825630188,0.741915762424469,0.7401735186576843,0.7433406114578247,0.7230213284492493,0.6652213335037231,0.4911358654499054,0.20347848534584045,0.8338515162467957,0.7923612594604492,0.7449944019317627,0.7524625062942505,0.7646521329879761,0.7727290391921997,0.7429952621459961,0.6710742115974426,0.546205997467041,0.5049632787704468,0.7623708844184875,0.7215045094490051,0.6993828415870667,0.7293052077293396,0.7544400691986084,0.7804791331291199,0.7429051399230957,0.6753082871437073,0.6313064694404602,0.5683689117431641
pca_mlp,0.9453082084655762,0.9160913228988647,0.8994481563568115,0.841381311416626,0.7875420451164246,0.6056503653526306,0.4025467336177826,0.50960773229599,0.5187984704971313,0.3871225416660309,0.24928314983844757,0.8760886192321777,0.8622480034828186,0.8266933560371399,0.811512291431427,0.8178123235702515,0.8395524621009827,0.8356909155845642,0.8066281080245972,0.5163896083831787,0.24136625230312347,0.99522864818573,0.8358727097511292,0.5909278988838196,0.6196514368057251,0.6511762738227844,0.7373753786087036,0.7280964255332947,0.725904643535614,0.7082819938659668,0.6693742871284485,0.49570947885513306,0.14411160349845886,0.7989428043365479,0.7557461857795715,0.7053958773612976,0.6999855637550354,0.718014121055603,0.7170571684837341,0.7042676210403442,0.6252292394638062,0.4982166886329651,0.342745840549469,0.7430080771446228,0.7020660638809204,0.6619107723236084,0.6585230231285095,0.7030349373817444,0.7294518351554871,0.7025045156478882,0.6437756419181824,0.5010693073272705,0.36146068572998047
pca_ridge,0.9659863114356995,0.902224063873291,0.8827664852142334,0.8397137522697449,0.770488440990448,0.5108776688575745,0.1083853468298912,0.16603294014930725,0.21748694777488708,0.15291260182857513,0.07936079055070877,0.8768702149391174,0.8629747629165649,0.8358312249183655,0.823459804058075,0.8294559717178345,0.8451504707336426,0.837477445602417,0.8090177774429321,0.4959372580051422,0.19055117666721344,0.9949203133583069,0.840783953666687,0.5164000391960144,0.5696523785591125,0.6615293622016907,0.7075791954994202,0.7062222361564636,0.726378321647644,0.7285934686660767,0.6593206524848938,0.4411980211734772,0.14263054728507996,0.7737648487091064,0.6985740065574646,0.6165553331375122,0.6325705051422119,0.6671705842018127,0.6881597638130188,0.6813081502914429,0.6074134111404419,0.3891652822494507,0.38222000002861023,0.6912940740585327,0.6488325595855713,0.6193794012069702,0.6288403272628784,0.6978573203086853,0.7478106021881104,0.7174245119094849,0.6733651161193848,0.5581322312355042,0.4883156418800354
ppca_icm,0.9701893329620361,0.9176015257835388,0.8997931480407715,0.8382318019866943,0.7758908271789551,0.5883370041847229,0.4484436511993408,0.5593673586845398,0.5433384776115417,0.3544321358203888,0.23786279559135437,0.8967375755310059,0.8862855434417725,0.8576416969299316,0.8471672534942627,0.848787784576416,0.8586847186088562,0.8499802350997925,0.7687751650810242,0.47787225246429443,0.23715196549892426,0.9952951073646545,0.8554235696792603,0.6376485228538513,0.6834241151809692,0.7308545112609863,0.7659395337104797,0.7580461502075195,0.7440555095672607,0.7098855972290039,0.6113311648368835,0.42843279242515564,0.18734079599380493,0.828632652759552,0.782067060470581,0.7171231508255005,0.7071158289909363,0.7243523597717285,0.7210139632225037,0.7022751569747925,0.6668093800544739,0.5264767408370972,0.3997606039047241,0.7674298882484436,0.7371776700019836,0.6835783123970032,0.6770028471946716,0.7060770988464355,0.7573975324630737,0.7274022102355957,0.5941541790962219,0.40644577145576477,0.4009096920490265
train_mean,0.9410927295684814,0.8658360838890076,0.8331915140151978,0.8012962341308594,0.739683210849762,0.48036259412765503,0.07515162229537964,-0.13285522162914276,-0.013339780271053314,0.13838645815849304,0.10791223496198654,0.8523172736167908,0.8263095617294312,0.7760129570960999,0.7331995964050293,0.7042321562767029,0.7079576849937439,0.7101143598556519,0.7101325392723083,0.46091029047966003,0.18374395370483398,0.9921747446060181,0.7108538150787354,0.4529266357421875,0.52623051404953,0.6245787143707275,0.6759682893753052,0.6633327603340149,0.6628513932228088,0.6459538340568542,0.6114075183868408,0.47290003299713135,0.11432897299528122,0.7181758284568787,0.6234312653541565,0.49688130617141724,0.5474424958229065,0.5933330059051514,0.6011986136436462,0.5806066989898682,0.4860786497592926,0.3514424264431,0.32951194047927856,0.5899645090103149,0.49684077501296997,0.42484983801841736,0.5111309885978699,0.6270970106124878,0.6673365831375122,0.6408407688140869,0.5946017503738403,0.520823061466217,0.39408671855926514
