method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,12.497551918029785,10.771880043877495,0.5424769322077433,0.06433732849028376,9.998040782080757,5.016791052288479,36.604637145996094,20.326066970825195
coord_mlp,20.001235961914062,11.556326336330837,0.6407167845302157,0.07155897033711274,10.410250186920166,5.081611447864109,101.4321517944336,28.947778701782227
gplfr,11.392911911010742,9.00612046983507,0.4605364269680447,0.05134884702662627,8.892953713734945,4.308979140387641,26.7850399017334,17.65325927734375
knn,23.174877166748047,18.451838811238606,0.8834285007582771,0.07258040126827028,10.511377784940931,4.832639349831475,32.825714111328125,26.322330474853516
pca_mlp,12.958579063415527,10.31114027235243,0.5298888981342316,0.06323859819935428,9.955702834659153,4.8377838134765625,32.78139877319336,20.26144790649414
pca_ridge,17.04987335205078,14.294248898824057,0.6581060290336609,0.07105133040911621,12.063479794396294,5.395693990919325,37.859500885009766,25.307899475097656
ppca_icm,12.050851821899414,10.002069367302788,0.4943230715062883,0.06276382174756792,9.504347430335152,4.709337287478977,37.018089294433594,20.30730438232422
train_mean,25.163753509521484,20.31323496500651,1.04071710507075,0.10609487899475628,15.149038844638401,6.325576888190375,198.88294982910156,40.775779724121094
