method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,0.939522385597229,0.594139940208859,0.7852534883552127,0.6444635424349043,0.635478847556644,0.6335292193624709,0.9928659796714783,0.8355013728141785
coord_mlp,0.9286817908287048,0.4060537616411845,0.6900760978460312,0.6055976251761118,0.5966785020298428,0.6320082545280457,0.9641112685203552,0.7336615920066833
gplfr,0.9751779437065125,0.6689844065242343,0.8537135720252991,0.7122599515650008,0.7357664903004965,0.6986063983705308,0.9957787990570068,0.8886936902999878
knn,0.970242977142334,0.6109277307987213,0.8231742448276944,0.6766965223683251,0.7046618196699355,0.6978798906008402,0.9948429465293884,0.7940830588340759
pca_mlp,0.9501118063926697,0.6357409291797214,0.8094418313768175,0.6746682259771559,0.6628545721371969,0.6514080630408393,0.9951975345611572,0.8405389785766602
pca_ridge,0.9671964049339294,0.46815399535828167,0.8146465486950345,0.6451067792044746,0.618322577741411,0.65294525358412,0.995192289352417,0.8392238020896912
ppca_icm,0.9734414219856262,0.6515558693144057,0.8345548974143134,0.6812080211109586,0.7001015676392449,0.6680270797676511,0.9953367710113525,0.840946614742279
train_mean,0.942784309387207,0.39666561171826387,0.7382314834329817,0.6074550251166025,0.5381758047474755,0.5598890218469832,0.9920214414596558,0.7105926275253296
