subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,coord_mlp,0,relative_rmse,asr,2.3458335399627686,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_rmse,olr,1.069139003753662,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,surface_temperature,1.0043309926986694,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,temperature,3.552926778793335,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,specific_humidity_dex,1.097133755683899,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,cloud_fraction,1.2328335046768188,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,u,3.1969563961029053,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,v,1.2084206342697144,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,asr,0.969546377658844,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,0,relative_acc,olr,0.9659984707832336,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,surface_temperature,0.7756043076515198,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,temperature,0.7208642959594727,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,specific_humidity_dex,0.6485831141471863,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,cloud_fraction,0.29330381751060486,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,u,0.7515981793403625,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,v,0.7257139086723328,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,asr,0.5966095924377441,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_rmse,olr,0.6241003274917603,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_acc,surface_temperature,1.0509724617004395,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_acc,temperature,5.516722679138184,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,0,relative_acc,specific_humidity_dex,1.2844136953353882,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
