subset,protocol,method,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,coord_mlp,relative_acc,cloud_fraction,1.2328335046768188,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,u,3.1969563961029053,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,v,1.2084206342697144,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,asr,0.969546377658844,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,coord_mlp,relative_acc,olr,0.9659984707832336,results/models/multi-partial/coord_mlp/metrics_shared_planets.json,results/models/multi-partial/coord_mlp/predictions_shared_planets.npz,results/models/multi-partial/coord_mlp/config.json
multi-partial,shared_planets,gplfr,relative_rmse,surface_temperature,0.7756043076515198,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_rmse,temperature,0.7208642959594727,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_rmse,specific_humidity_dex,0.6485831141471863,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_rmse,cloud_fraction,0.29330381751060486,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_rmse,u,0.7515981793403625,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_rmse,v,0.7257139086723328,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_rmse,asr,0.5966095924377441,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_rmse,olr,0.6241003274917603,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,surface_temperature,1.0509724617004395,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,temperature,5.516722679138184,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,specific_humidity_dex,1.2844136953353882,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,cloud_fraction,1.3066248893737793,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,u,3.9180657863616943,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,v,1.389121651649475,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,asr,1.0049749612808228,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_acc,olr,1.1821081638336182,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,surface_temperature,0.6041377186775208,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,temperature,0.5702409744262695,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,specific_humidity_dex,0.5117577910423279,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,cloud_fraction,0.23193320631980896,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,u,0.5697969198226929,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,v,0.5532169938087463,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,asr,0.4818992018699646,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,relative_energy_score,olr,0.4792366921901703,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,surface_temperature,0.8709270358085632,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,temperature,0.9403203785419464,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,specific_humidity_dex,0.8521916568279266,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,cloud_fraction,1.0253901481628418,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,u,0.5985708683729172,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,v,0.7512126445770264,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,asr,0.9735165238380432,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,gplfr,spread_skill_ratio,olr,0.8194706439971924,results/models/multi-partial/gplfr/metrics_shared_planets.json,results/models/multi-partial/gplfr/predictions_shared_planets.npz,results/models/multi-partial/gplfr/config.json
multi-partial,shared_planets,knn,relative_rmse,surface_temperature,1.419761061668396,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_rmse,temperature,1.352992296218872,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_rmse,specific_humidity_dex,1.3126972913742065,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_rmse,cloud_fraction,0.472541868686676,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_rmse,u,0.8275867700576782,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_rmse,v,0.8438405394554138,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_rmse,asr,1.0558263063430786,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_rmse,olr,1.1375106573104858,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,surface_temperature,1.0532327890396118,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,temperature,6.497269153594971,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,specific_humidity_dex,1.283758521080017,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,cloud_fraction,1.2938873767852783,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,u,4.046194553375244,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,v,1.328093409538269,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,asr,1.0035148859024048,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,knn,relative_acc,olr,1.0305497646331787,results/models/multi-partial/knn/metrics_shared_planets.json,results/models/multi-partial/knn/predictions_shared_planets.npz,results/models/multi-partial/knn/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,surface_temperature,0.91511070728302,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,temperature,0.8045264482498169,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,specific_humidity_dex,0.7516342401504517,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,cloud_fraction,0.414682000875473,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,u,0.920100748538971,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,v,0.9311780333518982,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,asr,0.9008312821388245,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_rmse,olr,0.7205079197883606,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,surface_temperature,1.0341389179229736,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,temperature,4.952070236206055,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,specific_humidity_dex,1.2495918273925781,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,cloud_fraction,1.2188016176223755,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,u,3.481696605682373,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,v,1.256123661994934,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,asr,1.0042335987091064,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_mlp,relative_acc,olr,1.142863392829895,results/models/multi-partial/pca_mlp/metrics_shared_planets.json,results/models/multi-partial/pca_mlp/predictions_shared_planets.npz,results/models/multi-partial/pca_mlp/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,surface_temperature,1.1987762451171875,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,temperature,1.150805950164795,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,specific_humidity_dex,0.9785920977592468,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,cloud_fraction,0.3829227387905121,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,u,1.0261175632476807,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,v,0.9197996854782104,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,asr,1.2380318641662598,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_rmse,olr,0.9140925407409668,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_acc,surface_temperature,1.0470179319381714,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_acc,temperature,4.181007385253906,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
multi-partial,shared_planets,pca_ridge,relative_acc,specific_humidity_dex,1.2635712623596191,results/models/multi-partial/pca_ridge/metrics_shared_planets.json,results/models/multi-partial/pca_ridge/predictions_shared_planets.npz,results/models/multi-partial/pca_ridge/config.json
