method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,0.941993236541748,0.5315494954586029,0.7220656275749207,0.6111208960413933,0.6548428416252137,0.6324079543352127,0.9940666556358337,0.8441734910011292
coord_mlp,0.924899697303772,0.43533454909920694,0.6320330984890461,0.5626990463584661,0.5581176310777665,0.6230183631181717,0.9633331298828125,0.7089260816574097
gplfr,0.9737985730171204,0.6826789230108261,0.7851238250732422,0.6462407141923905,0.7378031730651855,0.7032307147979736,0.995858371257782,0.8879652619361877
knn,0.9692226648330688,0.6415139615535737,0.7692107617855072,0.6234593033790589,0.712628960609436,0.7065371453762055,0.9946697950363159,0.7837823033332825
pca_mlp,0.9453082084655762,0.611747182905674,0.743398194015026,0.6070609420537949,0.6565601110458374,0.6406804859638214,0.99522864818573,0.8358727097511292
pca_ridge,0.9659863114356995,0.46302490383386613,0.7406726107001305,0.5859504222869873,0.6136901885271072,0.6471251785755158,0.9949203133583069,0.840783953666687
ppca_icm,0.9701893329620361,0.6163298726081848,0.7529084190726281,0.6256958693265915,0.6775626897811889,0.645757520198822,0.9952951073646545,0.8554235696792603
train_mean,0.9410927295684814,0.3895624950528145,0.6664930373430252,0.5450478665530681,0.5328102231025695,0.5467572003602982,0.9921747446060181,0.7108538150787354
