method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,16.68504524230957,12.80879963768853,0.7976181970702277,0.10596597815553348,10.51971893840366,4.62748474544949,43.188358306884766,24.77206802368164
coord_mlp,13.942946434020996,9.440841092003716,0.5779017938507928,0.107494848055972,8.797556002934774,4.4431332217322455,68.55120086669922,27.2009220123291
gplfr,11.079547882080078,8.751346270243326,0.5037608941396078,0.07937575876712799,7.198771768146091,3.4967455599043102,29.30398941040039,18.852689743041992
knn,13.409004211425781,11.175360361735025,0.6084195143646665,0.08963160299592549,8.879097753100925,3.921752373377482,31.664419174194336,21.934791564941406
pca_mlp,13.063350677490234,10.42285050286187,0.5984335541725159,0.09391347939769427,9.614271481831869,4.306233723958333,30.58266830444336,20.608125686645508
pca_ridge,14.923625946044922,13.487811088562012,0.732257733742396,0.10694716374079387,9.670591274897257,4.638885339101155,38.82661056518555,26.4520263671875
ppca_icm,11.294301986694336,9.6513639026218,0.5434792737166086,0.09529973318179448,9.004472070270115,4.488187816407946,29.5908203125,20.24094581604004
train_mean,21.42702865600586,19.397177166408962,1.0543238189485338,0.1324631240632799,12.114917013380262,5.320288790596856,46.62907409667969,34.39854431152344
