method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,0.927396833896637,0.5542803704738617,0.768801642788781,0.6910837723149194,0.6238729622628953,0.6127988762325711,0.991318941116333,0.8320040106773376
coord_mlp,0.9493057727813721,0.5396502084202237,0.771417604552375,0.6735316945446862,0.614615390698115,0.6215954191154904,0.9758015275001526,0.8175722360610962
gplfr,0.9738911390304565,0.7225454482767317,0.8480359249644809,0.7768440677060021,0.7576309707429674,0.7065102722909715,0.9954549670219421,0.8975110054016113
knn,0.9736183881759644,0.6629800995190939,0.8212219509813521,0.7280473775333829,0.7314946485890282,0.7163385815090604,0.9940649271011353,0.8868163228034973
pca_mlp,0.9699221253395081,0.6066447993119558,0.8115146723058488,0.7251968516243829,0.6816831032435099,0.64412635895941,0.9946661591529846,0.8477712273597717
pca_ridge,0.9713303446769714,0.5097444941186242,0.8105668160650465,0.7025714781549242,0.6213862233691745,0.6320242981115977,0.9945690631866455,0.8740373253822327
ppca_icm,0.9633201360702515,0.6746252377827963,0.8140306638346778,0.719921910100513,0.6871074239412943,0.6239925540155835,0.9947848320007324,0.848909854888916
train_mean,0.9600148797035217,0.4538680753774113,0.7478795250256857,0.6185447010729048,0.5126047117842568,0.5739011598957909,0.9930168390274048,0.7958782315254211
