method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,0.8678079843521118,0.911858856678009,0.8018422722816467,0.3486017882823944,0.8948959708213806,0.8459789156913757,0.9772427678108215,0.7366834878921509
coord_mlp,1.0459448099136353,0.857069730758667,0.8657429814338684,0.36188265681266785,0.8894413709640503,0.8543832302093506,2.3458335399627686,1.069139003753662
gplfr,0.7756043076515198,0.7208642959594727,0.6485831141471863,0.29330381751060486,0.7515981793403625,0.7257139086723328,0.5966095924377441,0.6241003274917603
knn,1.419761061668396,1.352992296218872,1.3126972913742065,0.472541868686676,0.8275867700576782,0.8438405394554138,1.0558263063430786,1.1375106573104858
pca_gbt,0.9773695468902588,0.8760629296302795,0.7944086194038391,0.3709185719490051,0.8734508752822876,0.8847491145133972,1.1861076354980469,0.792847216129303
pca_mlp,0.91511070728302,0.8045264482498169,0.7516342401504517,0.414682000875473,0.920100748538971,0.9311780333518982,0.9008312821388245,0.7205079197883606
pca_ridge,1.2052500247955322,1.1551587581634521,0.982506513595581,0.3823751211166382,1.028870701789856,0.9207407236099243,1.2360985279083252,0.9147108197212219
ppca_icm,0.8617866635322571,0.8283588886260986,0.7412847876548767,0.38194742798805237,0.7981376051902771,0.8234260082244873,1.3970094919204712,0.7487244009971619
train_mean,1.5673493146896362,1.6966451406478882,1.4027905464172363,0.587496280670166,1.221081256866455,1.1784669160842896,5.078508377075195,1.4585041999816895
