method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,13.559215545654297,11.81300621032715,0.6269176572561264,0.05572265514638275,11.732471466064453,5.337670016288757,45.457366943359375,23.677631378173828
coord_mlp,15.657968521118164,10.340274810791016,0.6328575253486634,0.059118340420536694,11.892572355270385,5.223624300956726,97.50498962402344,32.69647216796875
gplfr,11.617372512817383,9.256784248352051,0.5184079974889755,0.047903045639395715,10.112502431869506,4.509241652488709,30.99085235595703,20.807254791259766
knn,19.82741928100586,16.016364192962648,0.915194696187973,0.07361516263335943,11.47392704486847,4.9365054845809935,47.82229995727539,32.006126403808594
pca_mlp,13.888522148132324,10.3745285987854,0.5837401807308197,0.06527153532952071,12.194031715393066,5.62819230556488,44.71782684326172,23.144634246826172
pca_ridge,17.72698211669922,14.747926330566406,0.745879539847374,0.061672626761719584,12.684270524978638,5.539494895935059,54.92954635620117,28.342466354370117
ppca_icm,12.141182899475098,10.010792255401611,0.5675916701555253,0.06201159181073308,10.932519388198852,5.089522862434388,59.409820556640625,23.25975227355957
train_mean,23.13995933532715,20.961218547821044,1.0167773723602296,0.09452334027737379,15.452909231185913,7.070430779457093,211.15423583984375,37.267879486083984
