method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,1.041921854019165,5.099559783935547,1.2574634552001953,1.312912940979004,3.598658323287964,1.2483855485916138,1.0037388801574707,1.146360158920288
coord_mlp,1.0043309926986694,3.552926778793335,1.097133755683899,1.2328335046768188,3.1969563961029053,1.2084206342697144,0.969546377658844,0.9659984707832336
gplfr,1.0509724617004395,5.516722679138184,1.2844136953353882,1.3066248893737793,3.9180657863616943,1.389121651649475,1.0049749612808228,1.1821081638336182
knn,1.0532327890396118,6.497269153594971,1.283758521080017,1.2938873767852783,4.046194553375244,1.328093409538269,1.0035148859024048,1.0305497646331787
pca_mlp,1.0341389179229736,4.952070236206055,1.2495918273925781,1.2188016176223755,3.481696605682373,1.256123661994934,1.0042335987091064,1.142863392829895
pca_ridge,1.0470179319381714,4.181007385253906,1.2635712623596191,1.276014804840088,3.5665485858917236,1.3027371168136597,1.0045443773269653,1.133970022201538
ppca_icm,1.0508512258529663,5.530811309814453,1.220929503440857,1.2798166275024414,3.7972476482391357,1.3015371561050415,1.0046707391738892,1.156562089920044
train_mean,1.0275112390518188,4.543941020965576,1.1644567251205444,1.1942440271377563,2.936054229736328,1.0695656538009644,1.0019023418426514,0.9957463145256042
