method,surface_temperature,temperature,specific_humidity_dex,cloud_fraction,u,v,asr,olr
coord_deeponet,0.9634712338447571,0.5093107171356678,0.7497711047530174,0.6374820880591869,0.6610472679138184,0.6583722174167633,0.9939109683036804,0.8603727221488953
coord_mlp,0.9285382032394409,0.4241726711392403,0.6434602785855532,0.5988474137149751,0.5757709667086601,0.6455233961343765,0.9599947333335876,0.7128154039382935
gplfr,0.9720814824104309,0.6693485766649246,0.7767436191439628,0.6427297323942185,0.7323868066072464,0.7115788251161576,0.9951700568199158,0.8761569261550903
knn,0.973192036151886,0.6330207347869873,0.7737957328557968,0.623696169257164,0.7273983895778656,0.7194398403167724,0.9937484264373779,0.7647920250892639
pca_mlp,0.9576823711395264,0.5998725205659866,0.7546711906790733,0.615420763194561,0.6422480165958404,0.6472872957587242,0.9944218993186951,0.8538146018981934
pca_ridge,0.9682384133338928,0.4521780129522085,0.7545031070709228,0.6197725847363472,0.6318076491355896,0.6667210072278976,0.9946581125259399,0.8578814268112183
ppca_icm,0.9715513586997986,0.596457751095295,0.7448315843939781,0.6187480129301548,0.6750857442617416,0.6536909073591233,0.9948491454124451,0.856600821018219
train_mean,0.9514670968055725,0.3642894048243761,0.6967242226004601,0.5885403666645288,0.5441640138626098,0.5456606924533844,0.9920287728309631,0.7427443861961365
