method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
coord_deeponet,0.939522385597229,0.8994988203048706,0.881906270980835,0.8330152630805969,0.7159577012062073,0.5291740298271179,0.2839621603488922,0.34882959723472595,0.4995449185371399,0.3553707003593445,0.9002039432525635,0.879030168056488,0.8410735130310059,0.8132910132408142,0.8102489113807678,0.82666015625,0.8135086297988892,0.7545258402824402,0.4287392199039459,0.9928659796714783,0.8355013728141785,0.5493922233581543,0.6084833741188049,0.6361364722251892,0.6908147931098938,0.7098128795623779,0.7637083530426025,0.7445814609527588,0.6594985723495483,0.43774375319480896,0.7616813778877258,0.6911205053329468,0.6498088240623474,0.6721014380455017,0.6677731871604919,0.6633419394493103,0.6405052542686462,0.5569314360618591,0.4160456657409668,0.7147314548492432,0.6588516235351562,0.5962757468223572,0.608749508857727,0.6657800078392029,0.7056747078895569,0.661116898059845,0.5874556303024292,0.50312739610672
coord_mlp,0.9286817908287048,0.8377505540847778,0.7655438184738159,0.6612486243247986,0.5548490881919861,0.3507286608219147,0.13144639134407043,0.12919414043426514,0.12231379747390747,0.10140877962112427,0.8624729514122009,0.8298683166503906,0.7763071656227112,0.7479252219200134,0.7561245560646057,0.7534546852111816,0.7059811353683472,0.555227518081665,0.22332333028316498,0.9641112685203552,0.7336615920066833,0.4644593596458435,0.5758779644966125,0.6682948470115662,0.696487545967102,0.6876993179321289,0.7007046341896057,0.6875052452087402,0.6048102974891663,0.36453941464424133,0.7295443415641785,0.6678818464279175,0.6144040822982788,0.6381618976593018,0.6314786076545715,0.6414558291435242,0.6276409029960632,0.5248491764068604,0.2946898341178894,0.6524240970611572,0.5975697040557861,0.5764245986938477,0.6144427061080933,0.6821725368499756,0.7165333032608032,0.6792049407958984,0.6477817296981812,0.5215206742286682
gplfr,0.9751779437065125,0.9279333353042603,0.914658784866333,0.8752546310424805,0.8215229511260986,0.6598618626594543,0.4221827983856201,0.4844214916229248,0.5235346555709839,0.3914891481399536,0.9353137612342834,0.9218282103538513,0.8955503702163696,0.8839089870452881,0.8848098516464233,0.8977186679840088,0.8829556703567505,0.8290907740592957,0.5522458553314209,0.9957787990570068,0.8886936902999878,0.6816896796226501,0.6887684464454651,0.7382453083992004,0.7958136796951294,0.7849947810173035,0.7923309206962585,0.7621200680732727,0.6862980127334595,0.48007866740226746,0.8350592851638794,0.7862372398376465,0.733070969581604,0.7478424310684204,0.7650808691978455,0.7514561414718628,0.7354037761688232,0.6775938868522644,0.5901538133621216,0.7807347774505615,0.742264449596405,0.6943566799163818,0.6946405172348022,0.7192361354827881,0.7638563513755798,0.7368829250335693,0.6380079984664917,0.5174777507781982
knn,0.970242977142334,0.9222260117530823,0.9078295230865479,0.8812934160232544,0.8179723024368286,0.5704460740089417,0.284610390663147,0.41429874300956726,0.39997392892837524,0.29969918727874756,0.9250184893608093,0.9043275713920593,0.8591479063034058,0.8349701762199402,0.8488497138023376,0.8713454604148865,0.8543033003807068,0.8017657995223999,0.5088397860527039,0.9948429465293884,0.7940830588340759,0.5627455115318298,0.6181727051734924,0.7355557084083557,0.7691841721534729,0.7536531090736389,0.7544692754745483,0.7325477600097656,0.6687999963760376,0.4951404631137848,0.8129518032073975,0.7671773433685303,0.7221558690071106,0.7243082523345947,0.7257026433944702,0.7298409342765808,0.7024325728416443,0.6343351006507874,0.5230518579483032,0.749163031578064,0.7090718746185303,0.67094486951828,0.6956487894058228,0.7233344316482544,0.7512044310569763,0.7170815467834473,0.6451770663261414,0.6192929744720459
pca_mlp,0.9501118063926697,0.9134156107902527,0.8963214159011841,0.835101842880249,0.7557942867279053,0.5707765817642212,0.37907376885414124,0.4454960823059082,0.5558574795722961,0.36983129382133484,0.912024199962616,0.8935028314590454,0.853010892868042,0.8296281695365906,0.8277402520179749,0.8527401685714722,0.8475287556648254,0.788547694683075,0.48025351762771606,0.9951975345611572,0.8405389785766602,0.6036509871482849,0.6286240220069885,0.6939640641212463,0.768103301525116,0.7659084796905518,0.7375428080558777,0.7284517288208008,0.6708785891532898,0.4748900532722473,0.7906716465950012,0.7389628291130066,0.6869784593582153,0.687751829624176,0.6991741061210632,0.7009785771369934,0.679190993309021,0.5821117758750916,0.39987093210220337,0.7479028701782227,0.7008287906646729,0.649115264415741,0.6548483371734619,0.6822952032089233,0.7125974297523499,0.6924107670783997,0.5999352931976318,0.42273861169815063
pca_ridge,0.9671964049339294,0.8975110650062561,0.8784016966819763,0.8275271058082581,0.740983247756958,0.45224881172180176,0.036961402744054794,0.1263720840215683,0.15991871058940887,0.09346183389425278,0.9088069200515747,0.8906407952308655,0.8570556640625,0.8381804823875427,0.8428415656089783,0.8606826066970825,0.8464599847793579,0.801239013671875,0.48591190576553345,0.995192289352417,0.8392238020896912,0.4926320016384125,0.5282296538352966,0.6669456958770752,0.751202404499054,0.7408539056777954,0.7494774460792542,0.7385052442550659,0.6754013299942017,0.4627133309841156,0.7631682753562927,0.6842935085296631,0.5971474051475525,0.6101089715957642,0.6368454098701477,0.6601999998092651,0.6605392694473267,0.5868430733680725,0.3657572865486145,0.6918222904205322,0.6443561315536499,0.6141016483306885,0.6168497800827026,0.6844597458839417,0.7323718667030334,0.6996060609817505,0.6533870100975037,0.5395527482032776
ppca_icm,0.9734414219856262,0.9160308241844177,0.8984939455986023,0.8421464562416077,0.7680947780609131,0.580436646938324,0.4543384611606598,0.500486433506012,0.5345516800880432,0.36942359805107117,0.9333820939064026,0.9195801615715027,0.8888875246047974,0.8648226261138916,0.8583954572677612,0.8698164224624634,0.8665496706962585,0.7961663007736206,0.5133938193321228,0.9953367710113525,0.840946614742279,0.6406015753746033,0.6888739466667175,0.7180948853492737,0.7570897340774536,0.7438605427742004,0.7387609481811523,0.7214958071708679,0.6591135859489441,0.4629811644554138,0.8233811855316162,0.7749210596084595,0.7140077352523804,0.7060010433197021,0.7175694108009338,0.709650993347168,0.6813541650772095,0.6376623511314392,0.5363661646842957,0.7563663125038147,0.7244973182678223,0.6693671941757202,0.6819794178009033,0.717567503452301,0.7543459534645081,0.7102195024490356,0.5725306272506714,0.42536988854408264
train_mean,0.942784309387207,0.8620128035545349,0.8318507671356201,0.7983909845352173,0.7234804630279541,0.4343443512916565,0.013285745866596699,-0.18858608603477478,-0.032382071018218994,0.12759354710578918,0.8872870802879333,0.858237624168396,0.8018226623535156,0.7528538107872009,0.7239294052124023,0.7300155758857727,0.7218204736709595,0.7125519514083862,0.4555647671222687,0.9920214414596558,0.7105926275253296,0.47326868772506714,0.553429901599884,0.6549239754676819,0.7017608880996704,0.6754850745201111,0.6700635552406311,0.6531403660774231,0.6176742911338806,0.46734848618507385,0.7070916891098022,0.6078997850418091,0.4795035421848297,0.5382833480834961,0.5785951018333435,0.5894247889518738,0.5672503113746643,0.4598131477832794,0.3157205283641815,0.6049898266792297,0.5179200172424316,0.44521674513816833,0.5081289410591125,0.6162427067756653,0.6561399102210999,0.6253563165664673,0.5727485418319702,0.4922581911087036
