method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
coord_deeponet,1.041921854019165,1.1701065301895142,1.225175380706787,1.2760826349258423,1.408150553703308,1.111905574798584,0.08685523271560669,0.3829531967639923,0.34914281964302063,0.5976573824882507,0.6741070747375488,1.124832272529602,1.1582103967666626,1.2721812725067139,1.5974879264831543,1.4618817567825317,1.1769189834594727,1.2567365169525146,1.2130370140075684,1.7440186738967896,4889.09814453125,1.0037388801574707,1.1463602781295776,2.8938205242156982,1.4874058961868286,1.1831943988800049,1.190557599067688,1.464227318763733,1.0316418409347534,1.1391804218292236,2465.520751953125,1990.6658935546875,1.0557057857513428,2.396304130554199,1.9402073621749878,1.3669184446334839,2.286003351211548,2.680001974105835,7.748349189758301,3.682999849319458,1.4714561700820923,1.1528047323226929,1.268618106842041,2.537456512451172,1.3689147233963013,1.365128993988037,1.7168020009994507,2.3866803646087646,1.2464982271194458,1.2480603456497192,1.2824559211730957,0.7428237199783325,0.9495581984519958
coord_mlp,1.0043309926986694,1.0735746622085571,1.1022862195968628,1.1183840036392212,1.1543378829956055,1.530236005783081,0.3681279420852661,0.45470449328422546,0.1900240033864975,0.35874950885772705,-0.30975645780563354,1.0566688776016235,1.076747179031372,1.1938729286193848,1.505445122718811,1.3296929597854614,1.0409239530563354,1.0761067867279053,0.9683076739311218,0.5189961194992065,4462.38818359375,0.9695464968681335,0.9659983515739441,2.150491714477539,1.4328340291976929,1.1350734233856201,1.1703767776489258,1.5828713178634644,0.9896070957183838,1.0739942789077759,2363.221923828125,1510.166748046875,0.7509245872497559,2.043910264968872,1.7992514371871948,1.2767844200134277,2.233930826187134,2.651700735092163,7.044430732727051,4.024737358093262,1.313846468925476,0.6791564226150513,0.7797054052352905,2.2391977310180664,0.957263708114624,1.0814251899719238,1.6795830726623535,2.045478582382202,1.1518503427505493,1.2956136465072632,1.3094861507415771,0.8121439814567566,1.1430810689926147
gplfr,1.050972580909729,1.1814250946044922,1.234940767288208,1.2865413427352905,1.4552264213562012,1.9387378692626953,0.6202197074890137,1.1829184293746948,1.0416734218597412,1.3707705736160278,1.297422170639038,1.1068291664123535,1.1380172967910767,1.2522740364074707,1.5157852172851562,1.4229594469070435,1.2063729763031006,1.281627893447876,1.2927219867706299,1.4352937936782837,0.9217454195022583,1.0049748420715332,1.1821081638336182,3.045968532562256,1.350039005279541,1.1217528581619263,1.274658441543579,1.4431976079940796,1.011176347732544,1.0731840133666992,2533.245361328125,2386.0673828125,0.8649080395698547,2.5083954334259033,2.0367186069488525,1.4746265411376953,2.4131217002868652,2.7313406467437744,8.885393142700195,3.7807564735412598,1.604453206062317,1.5252352952957153,1.0365662574768066,2.7315988540649414,1.31801438331604,1.4251946210861206,1.8754873275756836,2.711148977279663,1.3150759935379028,1.3951157331466675,1.307815670967102,0.9150088429450989,0.9935465455055237
knn,1.0532327890396118,1.1924490928649902,1.2512108087539673,1.316162347793579,1.462715983390808,1.444684386253357,0.4529103934764862,1.0666534900665283,1.151265025138855,1.133587121963501,1.5800071954727173,1.1041913032531738,1.1330339908599854,1.2332044839859009,1.5051900148391724,1.423099160194397,1.1967439651489258,1.2740670442581177,1.2526694536209106,2.0040178298950195,0.8586744666099548,1.0035148859024048,1.0305498838424683,3.6970279216766357,1.5031561851501465,1.2162350416183472,1.1645398139953613,1.3235714435577393,0.9504765272140503,1.0346463918685913,2627.43994140625,2680.86328125,0.5187795162200928,2.692537546157837,2.07411789894104,1.4235438108444214,2.4648146629333496,2.9060373306274414,9.515698432922363,4.358788013458252,1.5457472801208496,1.5148160457611084,1.862676739692688,2.722599506378174,1.3113360404968262,1.3770781755447388,1.8280701637268066,2.849979877471924,1.299834132194519,1.3158811330795288,1.1883379220962524,1.1669813394546509,1.3116401433944702
pca_gbt,1.0319464206695557,1.1619776487350464,1.2085721492767334,1.2367827892303467,1.395179271697998,1.7285746335983276,0.4709286391735077,0.8953384160995483,0.7538729310035706,1.2590082883834839,0.9757971167564392,1.059507131576538,1.0806571245193481,1.1478497982025146,1.3535951375961304,1.2995175123214722,1.1328784227371216,1.2171876430511475,1.1852253675460815,1.4488624334335327,0.0986301526427269,1.0044195652008057,1.117996096611023,2.941107749938965,1.4105148315429688,1.1624171733856201,1.1508060693740845,1.3045881986618042,0.9537568092346191,1.040543794631958,2197.08203125,25.122243881225586,1.0847337245941162,2.1262857913970947,1.8963918685913086,1.3859968185424805,2.319648504257202,2.6357526779174805,7.708238124847412,3.472815752029419,1.3672922849655151,1.3099852800369263,0.05994471535086632,2.3602490425109863,1.0928813219070435,1.2380374670028687,1.712785243988037,2.532038450241089,1.258060336112976,1.4064654111862183,1.281156301498413,0.7476856708526611,0.9193604588508606
pca_mlp,1.0341389179229736,1.1748919486999512,1.2277309894561768,1.250247836112976,1.300052523612976,1.6433185338974,0.3939515948295593,0.9953601360321045,0.7690353393554688,1.331589937210083,1.331906795501709,1.0921074151992798,1.1144336462020874,1.2136918306350708,1.4825345277786255,1.3784654140472412,1.1700482368469238,1.2580541372299194,1.2608997821807861,1.695520281791687,9337.537109375,1.0042335987091064,1.1428632736206055,2.913050889968872,1.3446298837661743,1.096958875656128,1.1590619087219238,1.3116921186447144,0.9192919135093689,1.0400429964065552,1601.9376220703125,2599.6162109375,0.25189408659935,2.2318689823150635,1.8455681800842285,1.3584551811218262,2.26557993888855,2.6738312244415283,7.866368293762207,3.8090808391571045,1.4574801921844482,1.2797960042953491,-0.12034828215837479,2.633483409881592,1.322121262550354,1.367942214012146,1.7195948362350464,2.3096814155578613,1.2377381324768066,1.294674038887024,1.3231173753738403,0.9316939115524292,0.7536409497261047
pca_ridge,1.0470119714736938,1.15503990650177,1.2021700143814087,1.2454200983047485,1.3889758586883545,1.035798192024231,-0.2874925136566162,0.10551445931196213,0.42865225672721863,0.4176642894744873,0.0023260628804564476,1.1202456951141357,1.1529165506362915,1.270351767539978,1.5808683633804321,1.4463534355163574,1.1778056621551514,1.2452893257141113,1.2716423273086548,1.6796640157699585,0.3614180088043213,1.0045440196990967,1.1338647603988647,2.6419625282287598,1.4423027038574219,1.240249514579773,1.1162874698638916,1.3021515607833862,0.9671779870986938,1.0919874906539917,1767.0205078125,1450.350830078125,0.6682514548301697,2.225897789001465,1.843977451324463,1.2457982301712036,2.1422295570373535,2.6641805171966553,9.524092674255371,3.994392156600952,1.4981704950332642,0.9743255376815796,0.3658024072647095,2.571281909942627,1.073114275932312,1.2756849527359009,1.7254652976989746,2.8941092491149902,1.246766448020935,1.3470064401626587,1.3324978351593018,0.9341737627983093,1.2389296293258667
ppca_icm,1.0508512258529663,1.17918062210083,1.2295829057693481,1.2278746366500854,1.2057929039001465,1.5342602729797363,0.4712195098400116,1.0432101488113403,0.8335766792297363,0.8711708784103394,0.4418600797653198,1.0827077627182007,1.112560510635376,1.2077511548995972,1.429535150527954,1.3640122413635254,1.1670012474060059,1.239381194114685,1.1386523246765137,1.4157928228378296,0.4597848355770111,1.0046707391738892,1.156562089920044,3.1860179901123047,1.5282773971557617,1.1891179084777832,1.1800681352615356,1.4523277282714844,0.9531659483909607,1.0081197023391724,2206.360595703125,2273.02197265625,0.37579289078712463,2.4790215492248535,2.0651581287384033,1.4221948385238647,2.204463005065918,2.423389196395874,8.688358306884766,3.2451255321502686,1.5141022205352783,1.3652153015136719,1.0272904634475708,2.688924551010132,1.4359890222549438,1.5344171524047852,1.8608843088150024,2.911505699157715,1.3160558938980103,1.3667439222335815,1.242867350578308,0.7101153135299683,0.7470059394836426
train_mean,1.0275111198425293,1.1080242395401,1.1309694051742554,1.1707035303115845,1.302623987197876,1.0899351835250854,-0.2794857919216156,-0.5654510855674744,-0.12247901409864426,0.3206324279308319,0.1905788779258728,1.0901576280593872,1.1091105937957764,1.1903388500213623,1.4351210594177246,1.2778124809265137,1.0238701105117798,1.122619867324829,1.1587719917297363,1.733445644378662,7088.79443359375,1.0019022226333618,0.9957463145256042,2.6568403244018555,1.4815610647201538,1.1977155208587646,1.0485150814056396,1.1932599544525146,0.8915444016456604,0.9969605207443237,2182.170166015625,2864.020263671875,1.131378173828125,2.1433751583099365,1.6123247146606445,0.9501857757568359,1.6657007932662964,2.2524847984313965,7.130938529968262,3.16988468170166,1.1946053504943848,0.9067628979682922,1.0129704475402832,1.9681718349456787,0.9774765372276306,0.9511066675186157,1.4020189046859741,2.2035837173461914,1.1083062887191772,1.136396050453186,1.0957258939743042,0.8036540746688843,1.1061887741088867
