method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
coord_deeponet,0.9634712338447571,0.9291573166847229,0.9160548448562622,0.8858384490013123,0.820087730884552,0.5235205292701721,0.14272694289684296,0.2222464233636856,0.2729905843734741,0.3126847445964813,0.06779960542917252,0.9275016784667969,0.9111082553863525,0.8679349422454834,0.8386706709861755,0.8416387438774109,0.8625234961509705,0.845978856086731,0.8009063005447388,0.5083162188529968,0.093131884932518,0.9939109683036804,0.8603727221488953,0.5598393678665161,0.6532291769981384,0.7055544257164001,0.7522070407867432,0.786600649356842,0.8304915428161621,0.8159465193748474,0.7115511298179626,0.4648774266242981,0.0945236012339592,0.7965443134307861,0.7539898157119751,0.7229500412940979,0.7418100237846375,0.7351532578468323,0.7389726042747498,0.7241716384887695,0.599838137626648,0.4478776752948761,0.3491651713848114,0.7144533395767212,0.6849799752235413,0.6771014928817749,0.7033452391624451,0.741667628288269,0.7837013602256775,0.7466042637825012,0.6431187987327576,0.5065729022026062,0.3821771740913391
coord_mlp,0.9285382032394409,0.8541290760040283,0.824840784072876,0.7828689813613892,0.705763578414917,0.5143353939056396,0.24073456227779388,0.2159126251935959,0.19067521393299103,0.06033867597579956,-0.1478721797466278,0.8731518983840942,0.8458273410797119,0.8037501573562622,0.7696645259857178,0.7612437009811401,0.7709946036338806,0.732844352722168,0.6336772441864014,0.18212442100048065,0.06132454052567482,0.9599947333335876,0.7128154039382935,0.5132563710212708,0.5912995934486389,0.6799184083938599,0.764439582824707,0.7894385457038879,0.80024254322052,0.770760178565979,0.6540855169296265,0.40994521975517273,0.015088177286088467,0.7654704451560974,0.6860299706459045,0.6273859143257141,0.6082865595817566,0.6318140625953674,0.6751157641410828,0.6886040568351746,0.5660178661346436,0.30435076355934143,0.20463426411151886,0.6550601124763489,0.6125648021697998,0.6190306544303894,0.6833539605140686,0.7248826622962952,0.7770377993583679,0.7730960845947266,0.6909722089767456,0.5381028652191162,0.3811328113079071
gplfr,0.9720814824104309,0.9405348300933838,0.9280751347541809,0.9031034708023071,0.8598469495773315,0.6721126437187195,0.3582931458950043,0.5576756000518799,0.717531144618988,0.4665072560310364,0.2898055911064148,0.9291579127311707,0.9172486066818237,0.8864010572433472,0.8682514429092407,0.8653325438499451,0.8889345526695251,0.8771734833717346,0.8524747490882874,0.4738975465297699,0.20856429636478424,0.9951700568199158,0.8761569261550903,0.5853925347328186,0.6026647686958313,0.682195246219635,0.7854780554771423,0.8116757273674011,0.8179100751876831,0.7894121408462524,0.7326294779777527,0.5040714144706726,0.11586788296699524,0.8498339056968689,0.8123547434806824,0.7892799377441406,0.7949285507202148,0.7854477763175964,0.776814341545105,0.7687514424324036,0.6895045042037964,0.5836881995201111,0.4732646644115448,0.7890759706497192,0.7550440430641174,0.7337149381637573,0.7543616890907288,0.7629643082618713,0.822597086429596,0.8030881881713867,0.7002894282341003,0.5379629135131836,0.4566896855831146
knn,0.973192036151886,0.9431262612342834,0.9322458505630493,0.9152538180351257,0.8615392446517944,0.6054598689079285,0.2507062256336212,0.45500168204307556,0.643054187297821,0.37264660000801086,0.35117360949516296,0.9260169863700867,0.9100987911224365,0.8648473024368286,0.8401167988777161,0.8425190448760986,0.869389533996582,0.8597202301025391,0.8251953721046448,0.5197778940200806,0.2802753746509552,0.9937484264373779,0.7647920250892639,0.5357860922813416,0.6194391846656799,0.7225891947746277,0.7428945899009705,0.7637404203414917,0.7696065306663513,0.7499276399612427,0.6925621032714844,0.4963141679763794,0.14410176873207092,0.8491808176040649,0.8189225792884827,0.7788959741592407,0.7822645306587219,0.7869068384170532,0.7948896288871765,0.767765462398529,0.6919004321098328,0.5672206878662109,0.43603694438934326,0.7584089636802673,0.7275624871253967,0.730381190776825,0.7592772245407104,0.7801727652549744,0.8209871649742126,0.7864353656768799,0.6884876489639282,0.6630369424819946,0.4796486496925354
pca_gbt,0.9557491540908813,0.9266980290412903,0.908526599407196,0.867865800857544,0.8001812696456909,0.6127065420150757,0.30727189779281616,0.41118791699409485,0.47108903527259827,0.35781705379486084,0.1507382094860077,0.9032739996910095,0.8855080008506775,0.8340247869491577,0.8079552054405212,0.8124670386314392,0.8460294604301453,0.8415138125419617,0.7852850556373596,0.35602349042892456,0.010218926705420017,0.994577944278717,0.8299986720085144,0.5313118100166321,0.5980513691902161,0.6889984011650085,0.7337160706520081,0.7589145302772522,0.7733898758888245,0.7530437111854553,0.6770181059837341,0.41395139694213867,0.11167626082897186,0.7894680500030518,0.741126298904419,0.717799186706543,0.7384202480316162,0.7277299761772156,0.7185983061790466,0.7079503536224365,0.5982809066772461,0.47014325857162476,0.1472025066614151,0.7021873593330383,0.6453631520271301,0.6548516154289246,0.7021617889404297,0.7361208200454712,0.7988603115081787,0.779271125793457,0.6801148653030396,0.43429380655288696,0.27683719992637634
pca_mlp,0.9576823711395264,0.9339130520820618,0.9195848107337952,0.8707801103591919,0.7851344347000122,0.5553690791130066,0.27749383449554443,0.45031675696372986,0.5838780999183655,0.3633318245410919,0.258923202753067,0.9135698080062866,0.8935814499855042,0.8479096293449402,0.8215426206588745,0.8298689723014832,0.87031090259552,0.8639014959335327,0.830715537071228,0.49910208582878113,0.17620940506458282,0.9944218993186951,0.8538146018981934,0.540212869644165,0.609157145023346,0.6547271609306335,0.7417070865631104,0.7514159083366394,0.7621241807937622,0.7680783867835999,0.7409171462059021,0.49023905396461487,0.09562869369983673,0.7841836214065552,0.7428237795829773,0.7045465111732483,0.7021205425262451,0.6984456777572632,0.7023765444755554,0.7055305242538452,0.6299039721488953,0.4879968464374542,0.26455214619636536,0.7493686676025391,0.716303288936615,0.6898767352104187,0.6906785368919373,0.7084442377090454,0.7595279812812805,0.7468985915184021,0.6635295152664185,0.534441351890564,0.21380405128002167
pca_ridge,0.9682267308235168,0.9182509779930115,0.8996154069900513,0.8681643605232239,0.8147205114364624,0.5134192705154419,-0.027866262942552567,0.04527248442173004,0.24057520925998688,0.19841107726097107,0.04732191562652588,0.9271840453147888,0.910764753818512,0.8680642247200012,0.8370581269264221,0.83628910779953,0.857481062412262,0.8469947576522827,0.8376748561859131,0.4948439300060272,0.12693314254283905,0.9946576952934265,0.8578616380691528,0.5652803778648376,0.6217257976531982,0.7121736407279968,0.7343671321868896,0.7551833987236023,0.7801560759544373,0.7821398377418518,0.7127733826637268,0.4474218189716339,0.07717326283454895,0.7837126851081848,0.7163974642753601,0.6526806354522705,0.665523111820221,0.6899672746658325,0.7131834626197815,0.7152926921844482,0.623910129070282,0.4085479974746704,0.3501836955547333,0.7015636563301086,0.6615294218063354,0.6604087948799133,0.6897532939910889,0.7307701706886292,0.7874622941017151,0.7792502045631409,0.7037506699562073,0.5675784349441528,0.3860001862049103
ppca_icm,0.9715513586997986,0.9358047842979431,0.9185357689857483,0.8500097393989563,0.7687730193138123,0.5645586848258972,0.3736535608768463,0.5027429461479187,0.6034267544746399,0.36128315329551697,0.08578909933567047,0.919262707233429,0.9077968001365662,0.8713192343711853,0.851527750492096,0.8462755680084229,0.8659427165985107,0.8514487743377686,0.7596107125282288,0.43074318766593933,0.14438839256763458,0.9948491454124451,0.856600821018219,0.5909712314605713,0.6579381823539734,0.7244170308113098,0.7538169026374817,0.7790898680686951,0.7836524844169617,0.737662672996521,0.6381715536117554,0.4108719229698181,0.1108882799744606,0.8384478688240051,0.798997163772583,0.7565287947654724,0.7255741953849792,0.7052526473999023,0.6987851858139038,0.7035974860191345,0.6487635374069214,0.5360863208770752,0.33882424235343933,0.7876253128051758,0.7595958113670349,0.7261776328086853,0.7084614038467407,0.7354115843772888,0.791467010974884,0.7577340602874756,0.6198877692222595,0.3794898986816406,0.271058589220047
train_mean,0.9514670968055725,0.8839752674102783,0.850433886051178,0.815342128276825,0.7663785815238953,0.48655402660369873,-0.046317990869283676,-0.28546857833862305,-0.09140948951244354,0.16486351191997528,0.0985427051782608,0.9055079817771912,0.8809037804603577,0.817444920539856,0.761445164680481,0.7320142388343811,0.7503702044487,0.7491424083709717,0.7623016238212585,0.47669553756713867,0.13141636550426483,0.9920287728309631,0.7427443861961365,0.5079994797706604,0.5867769718170166,0.6712334752082825,0.7059214115142822,0.7148646116256714,0.731640100479126,0.716254472732544,0.6803684830665588,0.5086470246315002,0.06169763579964638,0.7346709370613098,0.6391464471817017,0.5145475268363953,0.5578547716140747,0.6018059849739075,0.6209941506385803,0.6143426895141602,0.5084592700004578,0.3638116419315338,0.28600671887397766,0.5913797616958618,0.48802444338798523,0.43779948353767395,0.547006368637085,0.6397503018379211,0.6884086728096008,0.6739519834518433,0.5787279009819031,0.4796045422554016,0.3319534659385681
